Acceleration - Average Points,142nd,42.51,,
Acceleration - Average Points,175th,in Huntsville,39.58,
Acceleration - Average Points,625th,at Birmingham,3.5,
Acceleration - Best Result,270th,6th,1,
Acceleration - Best Result,612th,in Huntsville,38th,x1
Acceleration - Best Result,626th,at Birmingham,42nd,x1
Acceleration - Total,165th,637.6,,
Acceleration - Total,495th,in Huntsville,79.17,
Acceleration - Total,661st,at Birmingham,3.5,
AutoX - Average Points,233rd,49.68,,
AutoX - Average Points,595th,at Birmingham,7.5,
AutoX - Average Points,643rd,in Huntsville,3.75,
AutoX - Best Result,312th,8th,1,
AutoX - Best Result,652nd,at Birmingham,44th,x1
AutoX - Best Result,696th,in Huntsville,83rd,x1
AutoX - Total,210th,745.22,,
AutoX - Total,673rd,at Birmingham,7.5,
AutoX - Total,674th,in Huntsville,7.5,
Business Presentation - Average Points,172nd,53.65,,
Business Presentation - Average Points,379th,at Birmingham,45.57,
Business Presentation - Average Points,678th,in Huntsville,32.95,
Business Presentation - Best Result,316th,6th,1,
Business Presentation - Best Result,764th,in Huntsville,40th,x1
Business Presentation - Best Result,774th,at Birmingham,42nd,x1
Business Presentation - Total,191st,804.71,,
Business Presentation - Total,716th,in Huntsville,65.9,
Business Presentation - Total,759th,at Birmingham,45.57,
Cost - Average Points,369th,57.27,,
Cost - Average Points,544th,at Birmingham,46.0,
Cost - Average Points,819th,in Huntsville,6.83,
Cost - Best Result,503rd,13th,1,
Cost - Best Result,791st,at Birmingham,52nd,x1
Cost - Best Result,806th,in Huntsville,55th,x1
Cost - Total,240th,859.08,,
Cost - Total,750th,at Birmingham,46.0,
Cost - Total,816th,in Huntsville,13.66,
Endurance - Average Points,294th,57.47,,
Endurance - Best Result,305th,7th,1,
Endurance - Total,248th,862.11,,
Engineering Design - Average Points,260th,79.33,,
Engineering Design - Average Points,626th,in Huntsville,50.0,
Engineering Design - Average Points,721st,at Birmingham,40.0,
Engineering Design - Best Result,190th,5th,2,
Engineering Design - Best Result,761st,at Birmingham,43rd,x1
Engineering Design - Best Result,848th,in Huntsville,79th,x1
Engineering Design - Total,232nd,1190.0,,
Engineering Design - Total,706th,in Huntsville,100.0,
Engineering Design - Total,798th,at Birmingham,40.0,
Fuel - Average Points,104th,27.1,,
Fuel - Best Result,375th,12th,1,
Fuel - Total,122nd,406.5,,
Points - Average Points,208th,385.53,,
Points - Average Points,653rd,at Birmingham,145.0,
Points - Average Points,665th,in Huntsville,138.0,
Points - Total,207th,5783,,
Points - Total,710th,in Huntsville,276,
Points - Total,780th,at Birmingham,145,
Skidpad - Average Points,238th,19.18,,
Skidpad - Average Points,544th,in Huntsville,4.64,
Skidpad - Average Points,589th,at Birmingham,2.5,
Skidpad - Best Result,216th,5th,1,
Skidpad - Best Result,610th,at Birmingham,39th,x1
Skidpad - Best Result,649th,in Huntsville,76th,x1
Skidpad - Total,209th,287.72,,
Skidpad - Total,600th,in Huntsville,9.29,
Skidpad - Total,648th,at Birmingham,2.5,
