Acceleration - Average Points,486th,15.78,,
Acceleration - Average Points,652nd,Polytechnic,2.13,
Acceleration - Best Result,334th,8th,1,
Acceleration - Best Result,672nd,Polytechnic,84th,x1
Acceleration - Total,422nd,157.83,,
Acceleration - Total,637th,Polytechnic,14.9,
AutoX - Average Points,444th,23.96,,
AutoX - Average Points,698th,Polytechnic,1.34,
AutoX - Best Result,606th,31st,1,
AutoX - Best Result,705th,Polytechnic,81st,x1
AutoX - Total,392nd,239.63,,
AutoX - Total,656th,Polytechnic,9.4,
Business Presentation - Average Points,335th,47.88,,
Business Presentation - Average Points,777th,Polytechnic,27.66,
Business Presentation - Best Result,363rd,7th,1,
Business Presentation - Best Result,783rd,Polytechnic,41st,x1
Business Presentation - Total,350th,478.79,,
Business Presentation - Total,551st,Polytechnic,193.64,
Cost - Average Points,397th,55.47,,
Cost - Average Points,528th,Polytechnic,47.65,
Cost - Best Result,240th,4th,2,
Cost - Best Result,456th,Polytechnic,10th,x1
Cost - Total,367th,554.7,,
Cost - Total,467th,Polytechnic,333.52,
Endurance - Average Points,594th,5.09,,
Endurance - Average Points,663rd,Polytechnic,0.29,
Endurance - Best Result,565th,22nd,1,
Endurance - Best Result,664th,Polytechnic,88th,x1
Endurance - Total,559th,50.88,,
Endurance - Total,658th,Polytechnic,2.0,
Engineering Design - Average Points,348th,72.68,,
Engineering Design - Average Points,756th,Polytechnic,36.57,
Engineering Design - Best Result,220th,5th,1,
Engineering Design - Best Result,655th,Polytechnic,27th,x1
Engineering Design - Total,366th,726.75,,
Engineering Design - Total,566th,Polytechnic,256.0,
Fuel - Average Points,527th,0.19,,
Fuel - Best Result,518th,35th,1,
Fuel - Total,527th,1.92,,
Points - Average Points,487th,227.8,,
Points - Average Points,751st,Polytechnic,114.14,
Points - Total,419th,2278,,
Points - Total,581st,Polytechnic,799,
Skidpad - Average Points,504th,6.78,,
Skidpad - Best Result,597th,33rd,1,
Skidpad - Total,446th,67.85,,
