Acceleration - Average Points,16th,60.7,
Acceleration - Best Result,7th,1st,x7
Acceleration - Total,1st,4309.77,
AutoX - Average Points,8th,109.82,
AutoX - Best Result,1st,1st,x20
AutoX - Total,1st,7797.55,
Business Presentation - Average Points,6th,66.96,
Business Presentation - Best Result,2nd,1st,x8
Business Presentation - Total,1st,4754.41,
Cost - Average Points,13th,79.06,
Cost - Best Result,2nd,1st,x6
Cost - Total,1st,5613.35,
Endurance - Average Points,2nd,239.56,
Endurance - Best Result,1st,1st,x23
Endurance - Total,1st,17009.06,
Engineering Design - Average Points,5th,131.21,
Engineering Design - Best Result,1st,1st,x15
Engineering Design - Total,1st,9315.81,
Fuel - Average Points,18th,48.66,
Fuel - Best Result,11th,1st,x3
Fuel - Total,1st,3454.64,
Points - Average Points,1st,784.87,
Points - Total,1st,55726,
Skidpad - Average Points,7th,50.65,
Skidpad - Best Result,3rd,1st,x10
Skidpad - Total,1st,3596.2,
