Acceleration - Average Points,194th,37.92,
Acceleration - Best Result,79th,1st,x1
Acceleration - Total,42nd,1554.71,
AutoX - Average Points,102nd,70.83,
AutoX - Best Result,153rd,2nd,x1
AutoX - Total,27th,2904.2,
Business Presentation - Average Points,45th,60.49,
Business Presentation - Best Result,21st,1st,x3
Business Presentation - Total,12th,2480.26,
Cost - Average Points,28th,76.01,
Cost - Best Result,5th,1st,x5
Cost - Total,10th,3116.31,
Endurance - Average Points,134th,109.81,
Endurance - Best Result,69th,1st,x1
Endurance - Total,30th,4502.13,
Engineering Design - Average Points,35th,113.29,
Engineering Design - Best Result,73rd,2nd,x4
Engineering Design - Total,13th,4644.7,
Fuel - Average Points,100th,27.14,
Fuel - Best Result,73rd,1st,x1
Fuel - Total,21st,1112.78,
Points - Average Points,70th,525.59,
Points - Total,20th,21549,
Skidpad - Average Points,69th,32.84,
Skidpad - Best Result,32nd,1st,x2
Skidpad - Total,22nd,1346.53,
