Acceleration - Average Points,31st,56.52,
Acceleration - Best Result,3rd,1st,x9
Acceleration - Total,4th,2882.5,
AutoX - Average Points,115th,69.18,
AutoX - Best Result,17th,1st,x4
AutoX - Total,18th,3528.34,
Business Presentation - Average Points,277th,50.27,
Business Presentation - Best Result,59th,1st,x1
Business Presentation - Total,11th,2563.67,
Cost - Average Points,57th,73.04,
Cost - Best Result,3rd,1st,x5
Cost - Total,5th,3725.17,
Endurance - Average Points,26th,167.21,
Endurance - Best Result,17th,1st,x3
Endurance - Total,6th,8527.83,
Engineering Design - Average Points,99th,101.09,
Engineering Design - Best Result,151st,4th,x2
Engineering Design - Total,10th,5155.48,
Fuel - Average Points,57th,33.3,
Fuel - Best Result,134th,3rd,x4
Fuel - Total,6th,1698.37,
Points - Average Points,36th,585.63,
Points - Total,7th,29867,
Skidpad - Average Points,35th,37.72,
Skidpad - Best Result,21st,1st,x2
Skidpad - Total,8th,1923.61,
