Acceleration - Average Points,272nd,31.74,,
Acceleration - Best Result,71st,1st,1,
Acceleration - Total,274th,349.09,,
AutoX - Average Points,288th,42.41,,
AutoX - Average Points,458th,- Sorocaba,21.22,
AutoX - Best Result,156th,3rd,2,
AutoX - Best Result,203rd,- Sorocaba,4th,x1
AutoX - Total,276th,466.52,,
AutoX - Total,575th,- Sorocaba,42.43,
Business Presentation - Average Points,613th,35.96,,
Business Presentation - Best Result,287th,6th,2,
Business Presentation - Total,379th,395.57,,
Cost - Average Points,496th,49.72,,
Cost - Best Result,251st,4th,1,
Cost - Total,354th,546.96,,
Endurance - Average Points,206th,83.04,,
Endurance - Best Result,112th,2nd,1,
Endurance - Total,225th,913.39,,
Engineering Design - Average Points,701st,40.52,,
Engineering Design - Average Points,756th,- Sorocaba,34.92,
Engineering Design - Average Points,852nd,- Campinas - Campus II,10.0,
Engineering Design - Best Result,230th,6th,1,
Engineering Design - Best Result,340th,- Sorocaba,10th,x1
Engineering Design - Best Result,668th,- Campinas - Campus II,32nd,x1
Engineering Design - Total,442nd,445.73,,
Engineering Design - Total,740th,- Sorocaba,69.84,
Engineering Design - Total,855th,- Campinas - Campus II,10.0,
Fuel - Average Points,477th,2.97,,
Fuel - Best Result,62nd,1st,1,
Fuel - Total,470th,32.72,,
Points - Average Points,339th,300.0,,
Points - Average Points,829th,- Sorocaba,56.5,
Points - Average Points,868th,- Campinas - Campus II,10.0,
Points - Total,322nd,3300,,
Points - Total,800th,- Sorocaba,113,
Points - Total,868th,- Campinas - Campus II,10,
Skidpad - Average Points,328th,13.56,,
Skidpad - Best Result,71st,1st,1,
Skidpad - Total,303rd,149.2,,
