Rank,University,#,Points
1,Pimpri Chinchwad College Of Engineering,1,325.0
2,Monash University,6,238.795
3,Warsaw University of Technology,1,216.83
4,Nagoya University,3,203.94333333333336
5,University of Washington,4,200.575
6,Universität Stuttgart,40,190.783
7,ETH Zürich,43,179.37209302325584
8,University of Auckland,4,171.955
9,University of Wollongong,3,163.33333333333334
10,TU Delft,31,161.37709677419355
11,National Tsing Hua University,4,156.19
12,Duale Hochschule Baden-Württemberg Stuttgart,25,154.1052
13,Tallinn TU UAS,25,151.41
14,National Technical University of Athens,5,151.18200000000002
15,Technische Universität Bergakademie Freiberg,25,145.7656
16,Karlsruhe Institute of Technology,36,145.74416666666667
17,GFR DHBW Ravensburg & Oregon State University,22,137.28727272727272
18,Carnegie Mellon University,4,133.5
19,University of Canterbury,4,127.5
20,Westsächsische Hochschule Zwickau,30,127.07300000000002
21,Massachusetts Institute of Technology,3,125.56666666666668
22,University of Michigan - Ann Arbor,3,122.60000000000001
23,University of Pennsylvania,4,120.95
24,Technical University of Munich,37,116.8091891891892
25,RMIT University,10,112.98000000000002
26,Liaoning University of Technology,2,111.405
27,Czech Technical University in Prague,24,109.18333333333334
28,Hochschule Bonn-Rhein-Sieg,23,107.69304347826088
29,Technische Universiteit Eindhoven,25,104.80279999999999
30,University of Adelaide,3,103.29666666666667
31,Fachhochschule Joanneum Graz,3,101.23333333333333
32,Budapest University of Technology and Economics,19,98.44684210526317
33,The University of Newcastle,3,95.16333333333334
34,Toyohashi University of Technology,2,93.87
35,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),23,93.2708695652174
36,Hochschule Esslingen,20,88.144
37,The University of Akron,2,86.75
38,Fachhochschule Osnabrück,15,84.67466666666668
39,Fachhochschule München,31,84.54451612903226
40,Technische Hochschule Ingolstadt,20,82.6885
41,Rheinisch-Westfälische Technische Hochschule Aachen,23,81.67782608695653
42,Brno University of Technology,4,81.6525
43,Norwegian University of Science and Technology,19,80.45315789473685
44,Georg-Simon-Ohm-Hochschule Nürnberg,15,75.31733333333334
45,University of Technology Sydney,5,72.92
46,Georgia Institute of Technology,2,71.1
47,École Polytechnique de Montréal,4,70.75
48,Hefei University of Technology,1,69.2
49,Politecnico di Torino,22,69.00681818181818
50,Chalmers University of Technology,11,68.90181818181817
51,Technische Universität Dresden,33,68.35939393939393
52,Ostfalia University of Applied Sciences,15,68.31533333333333
53,Universität Bayreuth,18,66.7038888888889
54,McGill University,5,65.16
55,Tongji University,4,63.815
56,University of California Davis,4,63.5
57,Iwate University,4,63.1
58,Aristotle University of Thessaloniki,10,61.384
59,K. J. Somaiya College of Engineering,4,60.2425
60,Universität Siegen,18,60.09222222222221
61,University of Texas at Austin,4,59.849999999999994
62,Swinburne University of Technology,10,57.334
63,Technische Universität Graz,13,55.363076923076925
64,Université Laval,7,53.32714285714286
65,University of Queensland,5,51.6
66,Technische Universität Hamburg,27,49.83296296296297
67,Deggendorf Institute of Technology,26,49.403076923076924
68,Niigata Institute of Technology,2,48.96
69,Helsinki Metropolia University of Applied Sciences,15,43.751999999999995
70,University of Nottingham,4,42.225
71,Duale Hochschule Baden-Württemberg - Mannheim,8,42.05375
72,Fachhochschule Kiel,26,40.93692307692307
73,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),17,40.31294117647059
74,Technische Universität Wien,24,40.01416666666666
75,University of Ljubljana,13,38.879230769230766
76,UAS Würzburg-Schweinfurt,9,37.56555555555556
77,Ostbayerische Technische Hochschule Regensburg,10,37.481
78,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,13,36.026153846153846
79,Purdue University - West Lafayette,4,35.7
80,Toyota Technical College Nagoya,7,34.64857142857143
81,Technische Universität Darmstadt,30,34.22166666666667
82,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,25,32.7116
83,Politecnico di Milano,6,31.575
84,Università degli Studi di Parma,5,28.706
85,Universidade de Lisboa - Instituto Superior Técnico,24,28.27541666666666
