Rank,University,#,Points
1,Heriot-Watt University,1,97.0
2,University of Strathclyde,1,91.3
3,University of Southampton,1,89.3
4,University of Oxford,1,86.6
5,Queen's University Belfast,1,85.9
6,Oxford Brookes University,2,81.1
7,Ryerson University,1,75.0
8,Fachhochschule Joanneum Graz,3,74.66666666666667
9,Karlstad University,1,74.4
10,Warsaw University of Technology,1,74.0
11,University Of Hertfordshire,3,73.68333333333332
12,University of Nottingham,4,72.85
13,Carnegie Mellon University,4,71.25
14,McGill University,5,70.56000000000002
15,University of New Mexico,1,70.5
16,University of Pennsylvania,4,70.4
17,Hochschule Karlsruhe - Technik und Wirtschaft,1,70.0
18,University of Washington,4,69.69999999999999
19,University of Manitoba,4,69.4
20,Missouri University of Science and Technology,2,68.85
21,University of Seville,9,68.83777777777777
22,Politecnico di Milano,6,68.7
23,University of Auckland,4,68.6775
24,Linköping University,1,68.43
25,Hochschule Pforzheim,2,68.25
26,Monash University,6,68.09333333333333
27,TU Delft,31,67.8016129032258
28,University of California Riverside,1,67.7
29,University of Warwick,3,67.56666666666666
30,Rutgers The State University of New Jersey,1,67.5
31,University of Colorado - Colorado Springs,1,67.3
32,Universidade Estadual de Campinas,2,67.25
33,Dwarkadas. J. Sanghvi College of Engineering,2,67.24
34,McMaster University,1,67.0
35,Massachusetts Institute of Technology,3,66.96666666666667
36,National Technical University of Athens,5,66.23400000000001
37,University of Kansas,1,65.6
38,Cornell University,1,65.2
39,University of the Basque Country,18,64.99277777777779
40,University of Michigan - Ann Arbor,3,64.7
41,University of Canterbury,4,64.47749999999999
42,Nagoya University,3,64.27
43,University of Wisconsin-Madison,4,63.974999999999994
44,Duale Hochschule Baden-Württemberg Stuttgart,25,63.8808
45,GFR DHBW Ravensburg & Oregon State University,22,63.86499999999999
46,Aristotle University of Thessaloniki,10,63.83299999999999
47,École de Technologie Superieure,1,63.7
48,MIT World Peace University,1,63.67
49,Sardar Patel College of Engineering Mumbai,1,63.67
50,Karlsruhe Institute of Technology,36,63.50333333333333
51,Rheinisch-Westfälische Technische Hochschule Aachen,23,63.50043478260871
52,California Baptist University,1,63.5
53,K. J. Somaiya College of Engineering,4,63.4925
54,Universität Stuttgart,40,63.37474999999999
55,Technische Universität Dresden,33,63.33787878787879
56,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,25,63.327600000000004
57,ETH Zürich,43,63.02348837209303
