Rank,University,#,Points
1,Carnegie Mellon University,4,110.07499999999999
2,Curtin University,1,107.51
3,University of Michigan - Ann Arbor,3,102.83333333333333
4,University of Canterbury,4,98.7325
5,Nagoya University,3,97.29333333333334
6,Jilin University,1,88.93
7,TU Delft,31,88.68225806451612
8,Toyohashi University of Technology,2,84.00999999999999
9,ETH Zürich,43,83.93860465116279
10,Universität Stuttgart,40,82.92824999999999
11,École de Technologie Superieure,1,82.3
12,Monash University,6,82.22166666666666
13,Massachusetts Institute of Technology,3,81.93333333333334
14,Georgia Institute of Technology,2,74.95
15,University of Auckland,4,74.645
16,Tallinn TU UAS,25,74.6408
17,Westsächsische Hochschule Zwickau,30,72.05199999999999
18,Tongji University,4,69.6425
19,Duale Hochschule Baden-Württemberg Stuttgart,25,69.1196
20,Karlsruhe Institute of Technology,36,68.00583333333333
21,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),23,64.3082608695652
22,Niigata Institute of Technology,2,63.545
23,Technical University of Munich,37,62.292162162162164
24,University of Pennsylvania,4,61.7
25,Universidade Estadual de Campinas,2,61.35
26,GFR DHBW Ravensburg & Oregon State University,22,59.656363636363636
27,University of Wollongong,3,59.373333333333335
28,Hochschule Bonn-Rhein-Sieg,23,58.15434782608696
29,Shizuoka Institute of Science and Technology,6,57.53000000000001
30,Czech Technical University in Prague,24,57.38125
31,Norwegian University of Science and Technology,19,56.79105263157894
32,The University of Akron,2,56.25
33,Missouri University of Science and Technology,2,55.95
34,University of Adelaide,3,53.63333333333333
35,RMIT University,10,52.42999999999999
36,Budapest University of Technology and Economics,19,52.373157894736835
37,University of Technology Sydney,5,50.14
38,The University of Newcastle,3,49.01333333333333
39,University of Washington,4,48.55
40,University of Melbourne,3,48.166666666666664
41,Fachhochschule München,31,48.02709677419355
42,Fachhochschule Joanneum Graz,3,47.96666666666667
43,Technische Hochschule Ingolstadt,20,46.64149999999999
44,Technische Universität Bergakademie Freiberg,25,46.02
45,Technische Universität Dresden,33,45.80878787878788
46,Ostfalia University of Applied Sciences,15,45.182
47,Politecnico di Torino,22,43.77318181818182
48,National Technical University of Athens,5,41.632
49,University of Queensland,5,40.986000000000004
50,Liaoning University of Technology,2,40.050000000000004
51,National Tsing Hua University,4,39.8825
52,McGill University,5,39.08
53,Technische Universität Graz,13,38.276153846153846
54,Université Laval,7,38.26142857142857
55,Technische Universiteit Eindhoven,25,38.232800000000005
56,Rheinisch-Westfälische Technische Hochschule Aachen,23,38.09173913043478
57,Chalmers University of Technology,11,37.95727272727273
58,Swinburne University of Technology,10,36.989999999999995
59,Iwate University,4,36.4725
60,Hochschule Esslingen,20,36.3575
61,University of Ljubljana,13,35.580769230769235
62,Technische Universität Darmstadt,30,35.538
63,Technische Universität Hamburg,27,34.47
64,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,25,34.1932
65,Toyota Technical College Nagoya,7,34.10714285714286
66,Ulm University of Applied Sciences,2,32.775
67,Aristotle University of Thessaloniki,10,32.682
68,University of Western Australia,3,32.58
69,Helsinki Metropolia University of Applied Sciences,15,31.883333333333333
70,UAS Würzburg-Schweinfurt,9,31.49666666666667
71,Tohoku University,7,30.877142857142854
72,Universität Bayreuth,18,29.67777777777778
73,Purdue University - West Lafayette,4,29.45
74,Technische Universität Wien,24,27.86041666666667
75,University of California Davis,4,27.65
76,Brno University of Technology,4,27.435000000000002
77,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),17,27.323529411764703
78,École Polytechnique de Montréal,4,27.3
79,Virginia Polytechnic Institute and State University,2,27.2
80,University of Wisconsin-Madison,4,26.6
81,Fachhochschule Kiel,26,23.972307692307695
82,Fachhochschule Osnabrück,15,22.481333333333335
83,Hochschule für angewandte Wissenschaften Augsburg,18,22.327777777777776
84,Universität Siegen,18,22.22611111111111
85,Hochschule Aalen - Technik und Wirtschaft,15,22.01133333333333
86,Lund University,1,21.8
87,Politecnico di Milano,6,21.7
88,Ostbayerische Technische Hochschule Regensburg,10,21.587
89,Universidade de Lisboa - Instituto Superior Técnico,24,21.53708333333334
90,University of Illinois at Urbana-Champaign,4,21.125
91,Technische Hochschule Köln,19,21.120526315789476
92,University of Texas at Austin,4,19.45
93,KU Leuven - Group T Campus,25,18.093600000000002
94,Hochschule RheinMain,17,16.94058823529412
95,Georg-Simon-Ohm-Hochschule Nürnberg,15,16.870666666666665
96,KTH Royal Institute of Technology,8,15.5775
97,Università degli Studi di Parma,5,15.429999999999998
98,Technische Universität Clausthal,9,14.578888888888887
99,Deggendorf Institute of Technology,26,14.461923076923075
100,Universität Paderborn,5,14.175999999999998
101,University of the Basque Country,18,13.285555555555554
102,Technische Universität Braunschweig,16,13.144375
103,Kanagawa University,3,13.076666666666666
104,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,13,12.92153846153846
105,Leibniz Universität Hannover,26,12.793076923076926
106,University of Southern Denmark,12,12.683333333333332
107,University Of Hertfordshire,3,12.653333333333334
108,Yıldız Technical University,3,12.533333333333333
109,École Polytechnique Fédérale de Lausanne,8,12.17125
110,University of Patras,12,12.089166666666666
111,Duale Hochschule Baden-Württemberg - Mannheim,8,11.345
112,University of Surrey,4,11.325
113,University of Seville,9,11.064444444444444
114,Slovak University of Technology in Bratislava,18,10.802222222222222
115,Hochschule Ruhr West - UAS,5,10.602
116,Hochschule Landshut,6,10.55
117,Indian Institute of Technology Bombay,9,8.944444444444445
118,Hochschule Mannheim,7,8.607142857142858
119,University of Nottingham,4,8.425
120,Technische Universität Ilmenau,9,8.194444444444445
121,Friedrich-Alexander-Universität Erlangen-Nürnberg,3,7.633333333333333
122,Daido Institute of Technology,1,7.5
123,University of Bath,8,7.275
124,University of Tasmania,3,6.93
125,University of Agder,1,6.5
126,Fachhochschule Konstanz,6,6.003333333333333
127,Technische Universität Berlin,10,5.9799999999999995
128,Beijing Institute of Technology,1,4.5
129,Zürcher Hochschule für Angewandte Wissenschaften,2,4.5
130,University of Iceland,12,3.8816666666666664
131,Technische Universität Kaiserslautern,19,3.8378947368421046
132,Newcastle University,2,3.75
133,University of Zagreb,4,3.74
134,Università degli studi di Padova,9,3.381111111111111
135,Thomas More Mechelen - De Nayer,5,3.3
136,Alma Mater Studiorum - Università di Bologna,2,3.25
137,Kennesaw State University,2,3.25
138,University of Manitoba,4,3.25
139,Saarland University,6,2.75
140,Università degli Studi di Trento,6,2.4633333333333334
141,Hochschule für Angewandte Wissenschaften Hamburg,2,2.25
142,Hochschule Pforzheim,2,2.25
143,Fachhochschule für Wirtschaft und Technik,17,2.1494117647058824
144,Università degli Studi di Roma La Sapienza,13,2.0076923076923077
145,Universität Duisburg-Essen,13,1.9138461538461538
146,Bern University of Applied Sciences,8,1.6875
147,Ben-Gurion University of the Negev,6,1.5
148,Hochschule Darmstadt UAS,3,1.5
149,Leopold-Franzens-Universität Innsbruck,3,1.5
150,Universidad Pontificia Comillas,5,1.4
151,Universität Bremen,8,1.375
152,Escola d'Enginyeria de Barcelona Est. EEBE,11,1.2272727272727273
153,Hochschule für Angewandte Wissenschaften Hof,8,1.125
154,K. J. Somaiya College of Engineering,4,1.125
155,Moscow State Automobile & Road Technical University - MADI,8,0.9375
156,Indian Institute of Technology Delhi,5,0.9
157,TECNUN - University of Navarra,14,0.8571428571428571
158,Technische Universität Chemnitz,6,0.75
159,AGH University of Science and Technology,4,0.0
160,Ain Shams University,1,0.0
161,Belgorod state technological university named after V. G. Shukhov,1,0.0
162,Brunel University London,1,0.0
163,Cairo University,2,0.0
164,California Baptist University,1,0.0
165,California Institute of Technology,2,0.0
166,California State Polytechnic University - San Luis Obispo,4,0.0
167,Central South University - Changsha,1,0.0
168,COEP Technological University ,1,0.0
169,Concordia University,1,0.0
170,Cornell University,1,0.0
171,Coventry University,1,0.0
172,Delhi Technological University,1,0.0
173,Democritus University of Thrace,1,0.0
174,Drexel University,1,0.0
175,Duale Hochschule Baden-Württemberg Mosbach,1,0.0
176,Dwarkadas. J. Sanghvi College of Engineering,2,0.0
177,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),1,0.0
178,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),2,0.0
179,Gadjah Mada University,2,0.0
180,Ghent University,2,0.0
181,Griffith University,1,0.0
182,Guangdong University of Technology,1,0.0
183,Guangxi Science and Technology University Lushan College,1,0.0
184,Harbin Institute of Technology at Weihai,3,0.0
185,Hefei University of Technology,1,0.0
186,Heriot-Watt University,1,0.0
187,Hochschule Düsseldorf,2,0.0
188,Hochschule für Technik und Wirtschaft Mittweida,1,0.0
189,Hochschule Karlsruhe - Technik und Wirtschaft,1,0.0
190,Hochschule Niederrhein,1,0.0
191,Hubei University of Automotive Technology,1,0.0
192,Imperial College London,4,0.0
193,Indian Institute of Technology Roorkee,1,0.0
194,Instituto Superior de Engenharia de Lisboa,2,0.0
195,Islamic Azad University of Karaj,1,0.0
196,Istanbul Technical University,1,0.0
197,Kanagawa Institute of Technology,3,0.0
198,Karlstad University,1,0.0
199,King Mongkut's University of Technology Thonburi,1,0.0
200,Kingston University,3,0.0
201,Kookmin University,1,0.0
