Rank,University,#,Points
1,École de Technologie Superieure,1,150.0
2,ETH Zürich,43,144.67558139534884
3,Fachhochschule Joanneum Graz,3,144.66666666666666
4,Pimpri Chinchwad College Of Engineering,1,140.0
5,University of Southampton,1,140.0
6,Brno University of Technology,4,138.375
7,TU Delft,31,137.09225806451613
8,University of Wisconsin-Madison,4,133.75
9,Nagoya University,3,131.66666666666666
10,Monash University,6,131.61666666666667
11,Karlsruhe Institute of Technology,36,129.52499999999998
12,Universität Stuttgart,40,127.75750000000001
13,Technical University of Munich,37,127.6972972972973
14,Carnegie Mellon University,4,127.5
15,University of Auckland,4,126.37500000000001
16,Norwegian University of Science and Technology,19,125.65789473684211
17,Westsächsische Hochschule Zwickau,30,124.17333333333333
18,Politecnico di Milano,6,123.08833333333332
19,McGill University,5,121.0
20,Tallinn TU UAS,25,120.63879999999999
21,University of Canterbury,4,120.525
22,National Technical University of Athens,5,118.80799999999999
23,Universidade Estadual de Campinas,2,117.5
24,Swinburne University of Technology,10,115.15
25,University of Washington,4,115.0
26,University of Pennsylvania,4,113.75
27,Rheinisch-Westfälische Technische Hochschule Aachen,23,112.72956521739131
28,Politecnico di Torino,22,112.61545454545454
29,RMIT University,10,111.39000000000001
30,Universidade de Lisboa - Instituto Superior Técnico,24,111.21333333333332
31,Technische Universiteit Eindhoven,25,110.6152
32,Hochschule Bonn-Rhein-Sieg,23,109.02347826086957
33,Duale Hochschule Baden-Württemberg Stuttgart,25,108.3204
34,Budapest University of Technology and Economics,19,108.16894736842106
35,GFR DHBW Ravensburg & Oregon State University,22,107.75772727272728
36,Technische Universität Darmstadt,30,107.386
37,Chalmers University of Technology,11,107.23636363636363
38,Jilin University,1,107.0
39,Czech Technical University in Prague,24,106.67750000000001
40,Massachusetts Institute of Technology,3,106.66666666666667
41,University of Queensland,5,106.08
42,Technische Universität Bergakademie Freiberg,25,106.03880000000001
43,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,25,105.906
44,Alma Mater Studiorum - Università di Bologna,2,105.36
45,Technische Universität Wien,24,105.14375
46,Griffith University,1,105.0
47,University of Michigan - Ann Arbor,3,105.0
48,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),23,104.04347826086956
49,Curtin University,1,104.0
50,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),17,103.95882352941177
51,KU Leuven - Group T Campus,25,103.86240000000002
52,Western University,3,103.33333333333333
53,Fachhochschule München,31,103.01677419354839
54,Hochschule Esslingen,20,103.003
55,Università degli studi di Padova,9,102.88555555555556
56,Technische Universität Dresden,33,102.72272727272727
57,California State Polytechnic University - San Luis Obispo,4,102.5
58,University Of Hertfordshire,3,101.94
59,University of the Basque Country,18,100.75
60,Tongji University,4,100.25
61,Smt. Kashibai Navale College of Engineering,1,100.18
62,University of Kansas,1,100.0
63,Lund University,1,99.4
64,Università degli Studi di Parma,5,99.236
65,University of Strathclyde,1,99.0
66,University of Adelaide,3,98.5
67,University of Bath,8,98.33875
68,University of Technology Sydney,5,98.16
69,MIT World Peace University,1,98.08
70,Université Laval,7,97.57142857142857
71,University of Melbourne,3,97.03333333333335
72,UAS Kempten,3,96.66666666666667
73,Oxford Brookes University,2,96.5
74,COEP Technological University ,1,96.34
75,University of New South Wales,2,96.1
76,University of Western Australia,3,95.56666666666666
77,Ulm University of Applied Sciences,2,94.0
78,PSG Institute of Technology and Applied Research,1,92.95
79,Technische Universität Hamburg,27,92.74296296296296
80,Technische Hochschule Ingolstadt,20,92.679
81,Georgia Institute of Technology,2,92.5
82,Technische Universität Graz,13,91.83846153846154
83,Università degli Studi di Trento,6,91.67666666666666
84,University of Wollongong,3,91.36666666666667
85,University of Patras,12,90.91583333333334
86,Wroclaw University of Technology,2,90.65
87,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,13,90.52846153846153
88,Cornell University,1,90.0
89,Western Washington University,1,90.0
90,Indian Institute of Technology Bombay,9,89.93666666666667
91,Poznan University of Technology,2,89.75
92,University of Ljubljana,13,89.63923076923076
93,Ramaiah Institute of Technology,1,88.88
94,Universität Paderborn,5,88.638
95,Linköping University,1,88.5
96,Ostfalia University of Applied Sciences,15,88.27199999999999
97,Ostbayerische Technische Hochschule Regensburg,10,87.42
98,Toyohashi University of Technology,2,87.0
99,Aristotle University of Thessaloniki,10,86.905
100,Hochschule RheinMain,17,86.82529411764708
101,Sardar Patel College of Engineering Mumbai,1,86.49
102,K. J. Somaiya College of Engineering,4,86.1
103,Universität Bayreuth,18,86.08166666666666
104,MCT's Rajiv Gandhi Institute of Technology,1,85.7
105,Technische Hochschule Köln,19,85.62
106,Hochschule Pforzheim,2,85.0
107,University of Applied Sciences Ravensburg-Weingarten,3,84.5
108,Hochschule Niederrhein,1,84.38
109,Leibniz Universität Hannover,26,84.14730769230769
110,Helsinki Metropolia University of Applied Sciences,15,83.74933333333334
111,Deggendorf Institute of Technology,26,83.63384615384615
112,Universität Siegen,18,83.55333333333334
113,Guangdong University of Technology,1,83.0
114,San José State University,4,82.5
115,UAS Würzburg-Schweinfurt,9,82.19999999999999
116,Indian Institute of Technology Roorkee,1,81.0
117,École Polytechnique Fédérale de Lausanne,8,80.9375
118,Hochschule für angewandte Wissenschaften Augsburg,18,80.28
119,Technische Universität Braunschweig,16,80.159375
120,Hefei University of Technology,1,80.0
121,Texas A&M University,1,80.0
122,University of Illinois at Urbana-Champaign,4,80.0
123,University of Minnesota Twin Cities,1,80.0
124,Virginia Polytechnic Institute and State University,2,80.0
125,Technische Universität Kaiserslautern,19,79.6842105263158
126,Harbin Institute of Technology at Weihai,3,79.66666666666667
127,Fachhochschule Kiel,26,79.12807692307692
128,Technion - Israel Institute of Technology,1,78.0
129,Heriot-Watt University,1,77.0
130,Hochschule für Angewandte Wissenschaften Hamburg,2,77.0
131,Technische Universität Ilmenau,9,77.0
132,Fachhochschule Konstanz,6,76.95
133,Indian Institute of Technology Delhi,5,76.55
134,University of Southern Denmark,12,75.76583333333333
135,Saarland University,6,75.26
136,University of Tasmania,3,75.13333333333333
137,Ben-Gurion University of the Negev,6,74.815
138,Escola d'Enginyeria de Barcelona Est. EEBE,11,74.46
139,Democritus University of Thrace,1,73.5
140,Fachhochschule Osnabrück,15,73.46000000000001
141,Università degli Studi di Napoli Federico II,2,73.12
142,National Taiwan University,1,73.0
143,Hochschule Aalen - Technik und Wirtschaft,15,72.946
144,Purdue University - West Lafayette,4,72.5
145,University of Seville,9,72.26222222222222
146,Universidad Politecnica Salesiana,1,72.0
147,National Tsing Hua University,4,71.875
148,TECNUN - University of Navarra,14,71.10785714285716
149,Istanbul Technical University,1,71.0
150,Technische Universität Berlin,10,70.583
151,KTH Royal Institute of Technology,8,70.38374999999999
152,AGH University of Science and Technology,4,70.125
153,Beijing Institute of Technology,1,70.0
154,Missouri University of Science and Technology,2,70.0
155,Olin College of Engineering,3,70.0
156,The University of Akron,2,70.0
157,University of British Columbia - Vancouver,1,70.0
158,University of California Berkeley,1,70.0
159,University of California Davis,4,70.0
160,University of New Mexico,1,70.0
161,University of Texas at Austin,4,70.0
162,Technische Universität Clausthal,9,69.13111111111111
163,The University of Newcastle,3,69.10000000000001
164,Otto-von-Guericke-Universität Magdeburg,1,69.0
165,Queen's University Belfast,1,69.0
166,University of Surrey,4,68.75
167,Duale Hochschule Baden-Württemberg - Mannheim,8,68.2
168,Fachhochschule für Wirtschaft und Technik,17,67.99588235294118
169,Università degli Studi di Roma La Sapienza,13,67.80384615384615
170,Technische Universität Chemnitz,6,67.66666666666667
171,Coventry University,1,65.0
172,University of Waterloo,2,65.0
173,Georg-Simon-Ohm-Hochschule Nürnberg,15,64.97266666666665
174,Yıldız Technical University,3,64.37333333333333
175,Ain Shams University,1,64.0
176,King Mongkut's University of Technology Thonburi,1,64.0
177,Zürcher Hochschule für Angewandte Wissenschaften,2,63.4
178,Hochschule Mannheim,7,63.314285714285724
179,Leopold-Franzens-Universität Innsbruck,3,63.19333333333333
180,Iwate University,4,62.0
181,Universität Bremen,8,61.65625
182,Universität Duisburg-Essen,13,61.589230769230774
183,University of Zagreb,4,61.3275
184,Slovak University of Technology in Bratislava,18,61.26833333333333
185,Cairo University,2,61.0
186,Hochschule für Technik und Wirtschaft Mittweida,1,61.0
187,Concordia University,1,60.0
188,Duale Hochschule Baden-Württemberg Mosbach,1,60.0
189,Kennesaw State University,2,60.0
190,North Carolina State University,1,60.0
191,Portland State University,1,60.0
192,Ryerson University,1,60.0
193,Technische Hochschule Ostwestfalen-Lippe,2,60.0
194,The University of Michigan-Dearborn,2,60.0
195,University of California Irvine,1,60.0
196,University of Iowa,1,60.0
197,École Polytechnique de Montréal,4,60.0
198,Hochschule für Angewandte Wissenschaften Hof,8,59.6475
199,Ruhr-Universität Bochum,2,59.6
200,Hochschule Landshut,6,59.57833333333334
201,Universidad Politécnica de Madrid (UPM),7,59.0
202,Universidad Pontificia Comillas,5,58.984
203,Dwarkadas. J. Sanghvi College of Engineering,2,58.595
204,Manchester Metropolitan University,1,58.0
205,Imperial College London,4,57.625
206,University of Manitoba,4,57.5
207,University of Nottingham,4,57.5
208,Lancaster  University,4,57.25
209,University of Stavanger,8,57.25
210,Bern University of Applied Sciences,8,57.192499999999995
211,University of Iceland,12,57.00083333333333
212,University of New South Wales - Australian Defence Force Academy,1,57.0
213,Friedrich-Alexander-Universität Erlangen-Nürnberg,3,54.666666666666664
214,Central South University - Changsha,1,54.0
215,Universität Kassel,6,53.324999999999996
216,Hochschule Darmstadt UAS,3,52.666666666666664
217,Universidad de Oviedo,3,52.666666666666664
218,VIT University - Chennai,1,52.6
219,Loughborough University,1,52.0
220,Seikei University,1,52.0
221,Hochschule Ruhr West - UAS,5,51.436
222,University of Agder,1,51.02
223,Liverpool John Moores University,1,51.0
224,Shizuoka Institute of Science and Technology,6,50.5
225,Belgorod state technological university named after V. G. Shukhov,1,50.0
226,University of Toronto,1,50.0
227,Universität der Bundeswehr München,1,50.0
228,Kanagawa Institute of Technology,3,49.333333333333336
229,University of Sussex,1,49.0
230,Queensland University of Technology,4,48.8
231,Liaoning University of Technology,2,48.0
232,Toyota Technical College Nagoya,7,48.0
233,Thomas More Mechelen - De Nayer,5,47.8
234,Brunel University London,1,47.0
235,University College Dublin,1,47.0
236,Technische Universität Dortmund,2,46.955
237,San Diego State University,3,46.666666666666664
238,Moscow State Automobile & Road Technical University - MADI,8,46.162499999999994
239,University of Ontario Institute of Technology,2,45.0
240,Newcastle University,2,44.5
241,Tohoku University,7,44.142857142857146
242,Karlstad University,1,44.0
243,Ghent University,2,43.349999999999994
244,Gadjah Mada University,2,42.5
245,University of Warwick,3,42.333333333333336
246,National Cheng Kung University,1,42.0
247,SRM Institute of Science and Technology - Kattankulathur,1,40.82
248,California Baptist University,1,40.0
249,Daido Institute of Technology,1,40.0
250,Hochschule Karlsruhe - Technik und Wirtschaft,1,40.0
251,Universidad Nacional Autónoma de México,1,40.0
252,University of Burgundy - ISAT,1,40.0
253,University of California Riverside,1,40.0
254,University of North Carolina at Asheville,1,40.0
255,University of Utah,2,40.0
256,National Taipei University of Technology,1,38.0
257,Instituto Superior de Engenharia de Lisboa,2,37.5
258,University of South Australia,2,36.75
259,VIT University - Vellore,4,35.05
260,California Institute of Technology,2,35.0
261,Hubei University of Automotive Technology,1,35.0
262,Pakistan Institute of Engineering & Applied Sciences,1,35.0
263,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),1,34.38
264,Sepuluh Nopember Institute of Technology,1,34.0
265,Kanagawa University,3,32.333333333333336
266,Universidad Politécnica de Cartagena,3,31.333333333333332
267,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),2,30.29
268,Guangxi Science and Technology University Lushan College,1,30.0
269,Kingston University,3,30.0
270,Kookmin University,1,30.0
271,University of Birmingham,1,30.0
272,University of California - Santa Cruz,1,30.0
273,University of Colorado - Colorado Springs,1,30.0
274,University of Texas at San Antonio,1,30.0
275,Islamic Azad University of Karaj,1,29.0
276,Technical University of Denmark,1,27.0
277,The Hague University of Applied Sciences,1,27.0
278,Hochschule Düsseldorf,2,25.52
279,Università degli studi di Trieste,1,25.51
280,University of Belgrade (Универзитет у Београду),2,25.0
281,University of Leicester,2,25.0
