Rank,University,Lowest Place,#
1,Sebelas Maret University,2nd,1
2,University of Indonesia,6th,1
3,Gadjah Mada University,7th,1
4,Sepuluh Nopember Institute of Technology,17th,1
5,Universitas Negeri Yogyakarta,19th,1
6,Institute of Technology Bandung,60th,1
