Rank,University,Lowest Place,#
1,Gadjah Mada University,5th,1
2,Universitas Negeri Yogyakarta,19th,1
3,Sebelas Maret University,25th,1
4,Sepuluh Nopember Institute of Technology,27th,1
5,Institute of Technology Bandung,N/A,0
6,University of Indonesia,N/A,0
