Rank,University,Points
1,Sebelas Maret University,40.06
2,University of Indonesia,40.06
3,Sepuluh Nopember Institute of Technology,35.44
4,Universitas Negeri Yogyakarta,27.47
5,Gadjah Mada University,27.45
6,Institute of Technology Bandung,8.45
