date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Spain,0.85,38,6.,11.,22.,9.,9.,3.,6.,-,-,0,393,66.
2022,Germany,0.93,63,33.,40.,19.,13.,19.,29.,29.,-,-,-20,245,80.
2022,East,0.92,33,21.,28.,10.,18.,-,17.,-,-,-,0,251,70.
2021,Italy,0.85,18,8.,7.,7.,-,10.,4.,3.,2.,2.,-150,469,66.
2021,Germany,0.94,38,30.,3.,38.,18.,-,-,-,-,-,0,210,80.
2021,Austria,0.92,27,18.,5.,16.,11.,-,-,15.,-,-,0,235,60.
2021,Netherlands,0.93,28,14.,10.,22.,11.,7.,-,-,-,-,0,221,40.
2018,Spain,0.97,38,10.,18.,3.,19.,8.,6.,9.,10.,4.,0,631,16.
2018,Germany,0.98,39,18.,28.,8.,11.,-,10.,12.,-,-,-5,335,22.
2018,Austria,0.97,19,7.,6.,11.,17.,-,-,3.,5.,2.,0,647,9.
2017,Spain,0.97,30,6.,21.,9.,8.,4.,4.,5.,6.,5.,0,762,10.
2017,Germany,0.96,34,3.,19.,18.,6.,2.,4.,5.,3.,6.,0,791,14.
2017,Austria,0.92,19,7.,4.,2.,6.,-,1.,4.,-,-,-25,412,22.
2016,Spain,0.97,29,5.,3.,1.,7.,3.,6.,5.,5.,10.,0,761,10.
2016,Germany,1.00,37,17.,5.,8.,8.,4.,-,8.,-,-,-35,351,17.
2016,Austria,0.99,18,8.,1.,2.,3.,2.,8.,4.,14.,10.,0,578,14.
2015,Spain,0.97,30,7.,2.,1.,5.,3.,5.,5.,-,10.,0,535,10.
2015,Austria,0.96,18,10.,2.,4.,9.,4.,7.,5.,16.,9.,0,558,9.
2015,Germany,0.98,39,11.,3.,1.,6.,2.,-,8.,-,9.,-5,490,9.
2014,Spain,0.96,23,6.,2.,7.,6.,4.,2.,4.,7.,10.,0,691,4.
2014,Austria,0.97,18,9.,2.,3.,3.,4.,2.,5.,17.,-,0,488,5.
2014,Germany,1.00,39,4.,1.,3.,6.,13.,10.,6.,6.,3.,0,659,4.
2013,Italy,0.95,24,4.,9.,11.,2.,7.,4.,5.,3.,5.,0,766,5.
2013,Spain,0.85,16,1.,5.,1.,2.,6.,2.,1.,1.,6.,0,906,7.
2013,Germany,1.00,40,8.,7.,25.,11.,12.,-,12.,8.,7.,0,589,13.
2012,Spain,0.85,13,5.,7.,5.,5.,8.,-,8.,5.,-,0,510,23.
2012,Germany,0.99,32,18.,13.,11.,19.,17.,15.,9.,-,12.,0,308,25.
2012,Austria,0.95,37,30.,26.,15.,11.,-,-,-,-,-,-10,206,19.
2011,Germany,0.98,28,12.,8.,11.,22.,7.,13.,10.,9.,-,0,265,17.
2011,Austria,0.94,27,22.,24.,5.,23.,-,-,-,-,-,0,173,16.
2010,Germany,1.00,15,11.,5.,14.,5.,-,-,-,-,-,0,213,11.
