date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.08,Czech Republic,0.90,46,36.,31.,68.2,17.,61.0,33.,85.3,-,0,-,0,12.,4.5,-,0,-,0,-10,209,173.
2023.08,Germany,0.92,70,60.,59.,53.32,36.,52.82,61.,40.0,-,0,39.,3.5,31.,4.5,-,0,-,0,-10,144,150.
2023.07,United Kingdom,0.85,60,13.,42.,49.2,52.,42.5,10.,102.0,-,0,-,0,-,0,7.,35.0,1.,100.0,-10,319,106.
2022.07,Czech Republic,0.85,19,13.,7.,72.0,10.,58.0,17.,69.0,-,0,-,0,-,0,-,0,-,0,-10,189,146.
