date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Australia,0.90,20,15.,15.,3.,12.,-,-,-,-,-,0,191,64.
2019,Australia,0.85,16,6.,12.,11.,8.,1.,4.,3.,8.,-,0,641,22.
2018,Australia,0.85,14,5.,9.,8.,4.,3.,4.,4.,5.,-,0,428,23.
2016,Australia,0.90,32,5.,22.,19.,19.,2.,11.,4.,5.,4.,0,796,5.
2015,Australia,0.92,29,7.,22.,13.,19.,15.,9.,7.,5.,1.,0,681,9.
2014,Australia,0.89,22,7.,15.,5.,15.,17.,16.,11.,7.,1.,0,697,14.
2013,Australia,0.87,23,10.,2.,3.,13.,17.,16.,8.,12.,-,0,520,31.
2012,Australia,0.88,21,20.,1.,17.,18.,-,-,19.,-,-,0,230,38.
2011,Australia,0.87,23,19.,1.,2.,6.,-,-,18.,16.,-,0,325,13.
2010,Australia,0.90,27,17.,1.,13.,15.,-,-,16.,-,-,0,235,12.
