date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Alpe Adria,0.85,25,2.,5.,12.,6.,2.,10.,4.,1.,5.,-11,875,23.
2022,Germany,0.93,63,24.,35.,29.,49.,17.,18.,15.,-,-,0,290,41.
2022,East,0.92,33,9.,27.,2.,10.,4.,13.,11.,-,-,-20,324,34.
2022,Czech Republic,0.85,19,2.,3.,1.,4.,3.,3.,6.,2.,1.,0,859,22.
2021,Germany,0.94,38,20.,20.,29.,22.,11.,9.,11.,-,-,-5,355,45.
2021,Spain,0.85,16,2.,7.,6.,9.,-,-,1.,1.,6.,0,727,33.
2021,Czech Republic,0.85,14,8.,5.,5.,6.,-,-,-,-,-,0,243,66.
2019,Spain,0.95,39,23.,-,6.,14.,6.,-,12.,-,-,0,259,47.
2019,Czech Republic,0.85,15,2.,5.,3.,7.,1.,2.,2.,2.,5.,0,789,29.
2019,Italy,0.85,25,24.,21.,23.,4.,-,-,-,-,-,-60,148,63.
2018,East,0.88,16,7.,6.,1.,7.,4.,5.,5.,-,-,0,395,28.
2017,Czech Republic,0.86,14,3.,6.,1.,6.,5.,5.,4.,2.,7.,0,829,16.
2017,East,0.99,38,12.,22.,11.,25.,-,9.,7.,13.,5.,0,528,31.
2016,Czech Republic,0.85,10,8.,4.,3.,3.,2.,4.,-,-,-,0,366,35.
2015,Italy,0.85,20,11.,8.,9.,5.,5.,4.,8.,13.,-,-75,344,22.
2015,Czech Republic,0.85,13,2.,4.,13.,3.,4.,1.,1.,2.,9.,0,839,12.
2015,Hungary,0.90,37,28.,25.,27.,28.,14.,13.,10.,-,-,-15,352,25.
2014,Italy,0.85,20,2.,10.,6.,5.,9.,3.,4.,2.,8.,-90,728,21.
2014,Hungary,0.90,38,33.,33.,24.,23.,-,-,-,-,-,0,180,42.
2013,Italy,0.95,24,11.,11.,19.,7.,12.,14.,12.,9.,-,0,495,29.
2013,Austria,0.97,39,33.,37.,38.,16.,30.,-,35.,19.,-,-10,205,31.
2013,Hungary,0.92,37,26.,27.,34.,19.,28.,16.,27.,-,-,0,309,27.
2012,Italy,0.85,17,8.,13.,16.,11.,10.,9.,9.,8.,8.,0,555,14.
2012,Hungary,0.91,39,19.,37.,38.,24.,31.,18.,25.,14.,6.,0,472,14.
