date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Germany,0.93,63,15.,23.,11.,33.,24.,-,16.,9.,5.,0,393,38.
2022,East,0.92,33,13.,20.,5.,12.,7.,-,-,-,-,0,298,35.
2022,Michigan,0.91,43,4.,14.,20.,9.,1.,2.,1.,5.,7.,0,650,29.
2021,Italy,0.85,18,6.,15.,8.,7.,9.,-,9.,4.,6.,0,588,29.
2021,Spain,0.85,16,3.,8.,5.,3.,-,-,8.,3.,3.,0,618,28.
2019,Germany,0.97,38,31.,32.,15.,19.,-,-,-,-,-,-28,172,30.
2018,Spain,0.97,38,5.,19.,31.,13.,11.,5.,6.,5.,7.,0,723,4.
2018,Italy,0.85,18,2.,7.,5.,12.,3.,2.,1.,2.,3.,0,901,7.
2017,Spain,0.97,30,8.,20.,9.,11.,17.,10.,11.,7.,3.,0,647,12.
2017,Italy,0.85,18,2.,9.,4.,2.,4.,4.,4.,2.,3.,0,905,10.
2016,Germany,1.00,37,11.,2.,1.,12.,13.,11.,11.,-,-,-5,392,10.
2016,Austria,0.99,18,5.,8.,11.,8.,8.,10.,3.,6.,3.,0,695,4.
2015,Austria,0.96,18,3.,6.,8.,7.,6.,8.,4.,3.,15.,0,747,4.
2015,Germany,0.98,39,4.,10.,3.,6.,5.,12.,5.,4.,13.,0,777,4.
2014,Austria,0.97,18,3.,11.,11.,7.,7.,7.,4.,3.,6.,0,682,7.
2014,Germany,1.00,39,16.,13.,16.,16.,12.,-,11.,-,-,0,288,13.
2013,Austria,0.97,39,6.,9.,3.,26.,5.,8.,7.,7.,7.,0,759,8.
2013,Germany,1.00,40,18.,13.,6.,8.,4.,17.,-,-,-,0,367,20.
2012,Germany,0.99,32,10.,8.,7.,5.,2.,10.,5.,-,-,0,448,10.
2012,Austria,0.95,37,23.,8.,5.,4.,28.,26.,-,21.,-,0,375,7.
2011,Germany,0.98,28,3.,4.,8.,6.,1.,10.,3.,7.,5.,0,746,5.
2011,Austria,0.94,27,17.,26.,7.,13.,17.,10.,14.,-,-,-10,302,10.
