date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Alpe Adria,0.85,25,4.,6.,14.,7.,9.,13.,10.,3.,4.,0,727,39.
2022,Germany,0.93,63,36.,37.,46.,30.,27.,-,24.,-,-,0,226,119.
2022,Austria,0.95,30,24.,5.,26.,25.,-,-,-,-,-,0,182,131.
2021,Germany,0.94,38,28.,33.,15.,18.,29.,15.,-,-,-,0,234,110.
2021,Austria,0.92,27,23.,26.,25.,20.,-,-,-,10.,-,0,142,131.
2018,Germany,0.98,39,30.,17.,29.,26.,-,-,-,-,-,-20,159,80.
2017,Germany,0.96,34,26.,25.,21.,28.,-,-,-,-,-,15,160,64.
2017,Austria,0.92,19,17.,14.,16.,11.,-,-,-,-,-,-55,145,57.
2016,Germany,1.00,37,23.,37.,16.,32.,23.,-,21.,-,9.,-10,261,32.
2016,Austria,0.99,18,12.,10.,18.,16.,13.,12.,14.,8.,9.,0,412,26.
2016,Italy,0.85,20,4.,16.,14.,4.,7.,7.,7.,3.,4.,0,743,20.
2015,Italy,0.85,20,6.,12.,14.,10.,10.,7.,4.,6.,8.,-40,460,30.
2015,Germany,0.98,39,31.,29.,30.,28.,-,-,-,-,-,-15,136,28.
2014,Italy,0.85,20,6.,13.,3.,2.,3.,5.,2.,9.,5.,0,610,12.
2014,Austria,0.97,18,6.,17.,18.,11.,13.,9.,6.,4.,3.,0,603,8.
2014,Germany,1.00,39,8.,29.,32.,14.,14.,-,9.,8.,6.,0,418,7.
2013,Italy,0.95,24,6.,16.,16.,10.,9.,11.,3.,5.,10.,0,678,10.
2013,Germany,1.00,40,15.,16.,32.,14.,16.,9.,9.,12.,-,0,379,8.
2012,Italy,0.85,17,5.,12.,11.,10.,7.,8.,3.,3.,3.,0,777,9.
2012,Germany,0.99,32,8.,24.,17.,6.,11.,12.,11.,9.,9.,0,490,8.
