date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Australia,0.90,20,9.,2.,14.,2.,-,-,10.,7.,1.,0,382,32.
2019,Australia,0.85,16,2.,1.,3.,4.,3.,9.,6.,3.,1.,0,774,27.
2018,Australia,0.85,14,6.,1.,1.,6.,4.,9.,9.,7.,-,0,369,67.
2016,Australia,0.90,32,25.,23.,8.,25.,-,-,-,-,-,0,210,65.
2015,Australia,0.92,29,26.,27.,22.,26.,17.,-,18.,24.,-,0,194,67.
