date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2022.12,Australia,0.90,20,19.,17.,18.29,19.,30.0,-,0,-,0,-,0,-,0,-,0,-,0,0,48,254.
2019.12,Australia,0.85,16,14.,15.,19.0,12.,47.0,14.,73.5,-,0,-,0,-,0,-,0,-,0,0,139,150.
