date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Spain,0.85,38,26.,7.,11.,30.,-,-,-,-,-,0,227,109.
2021,Austria,0.92,27,25.,4.,-,23.,-,-,-,-,-,-46,100,72.
2019,Spain,0.95,39,11.,2.,29.,29.,22.,10.,18.,10.,1.,0,489,48.
2019,East,0.92,20,9.,6.,9.,13.,10.,3.,12.,-,-,0,337,62.
2019,Netherlands,0.89,21,13.,3.,10.,12.,-,-,-,-,-,0,240,65.
2018,Spain,0.97,38,14.,1.,21.,22.,19.,21.,20.,12.,2.,0,500,46.
2018,Germany,0.98,39,23.,13.,13.,18.,-,-,-,-,-,-10,210,65.
2017,Spain,0.97,30,24.,6.,3.,26.,-,-,21.,-,-,0,230,51.
2017,Germany,0.96,34,11.,18.,26.,15.,15.,16.,17.,10.,1.,5,422,45.
2016,Spain,0.97,29,21.,21.,24.,21.,14.,14.,19.,-,-,0,272,57.
2016,Germany,1.00,37,36.,31.,37.,25.,-,-,-,-,-,-35,110,73.
2015,Spain,0.97,30,22.,14.,18.,15.,20.,20.,14.,-,-,0,215,60.
2015,Germany,0.98,39,35.,34.,33.,23.,-,-,-,-,-,-35,116,64.
2014,Spain,0.96,23,18.,8.,16.,13.,-,-,14.,-,-,0,231,52.
2014,Germany,1.00,39,30.,15.,30.,16.,-,-,-,-,-,0,207,51.
2013,Spain,0.85,16,14.,7.,8.,12.,11.,11.,-,-,-,0,299,44.
2013,Germany,1.00,40,30.,22.,22.,28.,-,-,-,-,-,0,196,43.
2012,Germany,0.99,32,23.,15.,8.,24.,-,20.,-,-,-,-5,232,31.
2012,Austria,0.95,37,31.,35.,32.,32.,-,-,26.,-,4.,0,181,30.
