Rank,University,Lowest Place,#
1,École de Technologie Superieure,1st,4
2,École Polytechnique de Montréal,1st,2
3,Carleton University,1st,1
4,University of Waterloo,1st,1
5,Université du Québec à Trois-Rivières,1st,1
6,Université Laval,3rd,1
7,McGill University,4th,1
8,University of Toronto,6th,2
9,University of Alberta,6th,1
10,Cégep du Vieux Montréal,9th,1
11,Western University,10th,2
12,Université de Sherbrooke,10th,1
13,University of British Columbia - Vancouver,11th,1
14,University of Manitoba,13th,2
15,Concordia University,14th,1
16,McMaster University,14th,1
17,University of Calgary,14th,1
18,Dalhousie University,16th,1
19,Lakehead University,16th,1
20,Ryerson University,18th,1
21,University of Victoria,19th,2
22,Queen's University,24th,1
23,University of Saskatchewan,25th,1
24,University of Windsor,29th,1
25,University of Ontario Institute of Technology,31st,1
26,University of Ottawa,38th,1
27,Université du Québec à Chicoutimi,41st,1
28,Fanshawe College,N/A,0
29,Memorial University of Newfoundland,N/A,0
30,University of British Columbia - Okanagan,N/A,0
31,University of Guelph,N/A,0
32,University of New Brunswick,N/A,0
33,University of Regina,N/A,0
34,École nationale d'aérotechnique,N/A,0
