Rank,University,Points
1,École Polytechnique de Montréal,34.95
2,École de Technologie Superieure,31.72
3,Carleton University,26.91
4,Université du Québec à Trois-Rivières,19.29
5,University of Victoria,19.06
6,McGill University,18.65
7,Université Laval,17.17
8,University of Waterloo,16.11
9,Université de Sherbrooke,13.58
10,University of Toronto,13.46
11,Western University,13.42
12,University of Manitoba,12.92
13,Dalhousie University,12.81
14,Concordia University,12.46
15,University of British Columbia - Vancouver,12.19
16,Lakehead University,11.68
17,University of British Columbia - Okanagan,10.42
18,University of Alberta,9.68
19,University of Calgary,8.76
20,Cégep du Vieux Montréal,8.21
21,University of Saskatchewan,7.23
22,University of Windsor,5.47
23,University of Ontario Institute of Technology,5.04
24,Ryerson University,4.5
25,Queen's University,3.15
26,University of Ottawa,0.81
27,McMaster University,0.62
28,Université du Québec à Chicoutimi,0.59
29,Fanshawe College,0.0
30,Memorial University of Newfoundland,0.0
31,University of Guelph,0.0
32,University of New Brunswick,0.0
33,University of Regina,0.0
34,École nationale d'aérotechnique,0.0
