Rank,University,Points
1,École de Technologie Superieure,1969.51
2,University of Waterloo,1594.68
3,University of Toronto,1533.36
4,Western University,1294.18
5,École Polytechnique de Montréal,1130.03
6,Queen's University,897.81
7,Carleton University,895.4
8,University of British Columbia - Vancouver,861.23
9,McGill University,756.79
10,Université Laval,753.98
11,Ryerson University,739.73
12,University of Victoria,726.87
13,University of Calgary,707.2
14,University of Alberta,643.86
15,Université de Sherbrooke,634.77
16,Université du Québec à Trois-Rivières,563.14
17,University of Guelph,555.98
18,University of Saskatchewan,520.51
19,University of Manitoba,514.49
20,Concordia University,489.58
21,University of Windsor,394.77
22,Université du Québec à Chicoutimi,348.01
23,Cégep du Vieux Montréal,313.28
24,Lakehead University,206.0
25,University of Ontario Institute of Technology,192.3
26,Dalhousie University,171.4
27,McMaster University,157.3
28,University of British Columbia - Okanagan,152.8
29,University of Ottawa,133.83
30,Fanshawe College,33.4
31,Memorial University of Newfoundland,31.96
32,University of New Brunswick,0.0
33,University of Regina,0.0
34,École nationale d'aérotechnique,0.0
