Rank,University,Lowest Place,#
1,École de Technologie Superieure,1st,5
2,University of Toronto,1st,2
3,École Polytechnique de Montréal,2nd,3
4,University of Waterloo,2nd,1
5,Carleton University,3rd,1
6,Western University,3rd,1
7,McGill University,5th,1
8,Ryerson University,6th,1
9,University of Calgary,7th,1
10,University of Guelph,7th,1
11,University of Victoria,7th,1
12,University of Alberta,10th,1
13,Université du Québec à Trois-Rivières,11th,1
14,Queen's University,12th,1
15,Université Laval,12th,1
16,University of British Columbia - Vancouver,13th,1
17,Concordia University,14th,1
18,University of Ontario Institute of Technology,15th,1
19,University of Ottawa,15th,1
20,Cégep du Vieux Montréal,16th,1
21,McMaster University,16th,1
22,University of Windsor,17th,1
23,Université de Sherbrooke,17th,1
24,University of Manitoba,18th,2
25,University of Saskatchewan,30th,1
26,Dalhousie University,33rd,1
27,Université du Québec à Chicoutimi,34th,1
28,University of British Columbia - Okanagan,40th,1
29,Lakehead University,53rd,1
30,Fanshawe College,N/A,0
31,Memorial University of Newfoundland,N/A,0
32,University of New Brunswick,N/A,0
33,University of Regina,N/A,0
34,École nationale d'aérotechnique,N/A,0
