Rank,University,Lowest Place,#
1,University of Toronto,1st,3
2,École de Technologie Superieure,1st,3
3,Western University,1st,1
4,Carleton University,2nd,1
5,École Polytechnique de Montréal,2nd,1
6,Université Laval,3rd,1
7,McGill University,4th,1
8,Ryerson University,5th,1
9,University of Alberta,6th,1
10,University of Waterloo,6th,1
11,Université du Québec à Trois-Rivières,6th,1
12,University of Calgary,7th,2
13,Concordia University,7th,1
14,McMaster University,8th,1
15,Cégep du Vieux Montréal,9th,1
16,University of British Columbia - Vancouver,9th,1
17,Université de Sherbrooke,9th,1
18,Queen's University,11th,1
19,University of Victoria,11th,1
20,University of Guelph,14th,1
21,University of Manitoba,14th,1
22,Dalhousie University,16th,1
23,University of Windsor,18th,1
24,University of Ottawa,23rd,1
25,University of Saskatchewan,23rd,1
26,Lakehead University,27th,1
27,University of British Columbia - Okanagan,28th,1
28,Université du Québec à Chicoutimi,28th,1
29,University of Ontario Institute of Technology,54th,1
30,Fanshawe College,N/A,0
31,Memorial University of Newfoundland,N/A,0
32,University of New Brunswick,N/A,0
33,University of Regina,N/A,0
34,École nationale d'aérotechnique,N/A,0
