Rank,University,Points
1,Kasetsart University,73.46
2,Prince of Songkla University,51.33
3,Maejo University,51.24
4,King Mongkut's University of Technology Thonburi,37.95
5,Siam University,29.62
6,Thai-Nichi Institute of Technology,21.14
7,King Mongkut's Institute of Technology Ladkrabang,10.19
8,Chulalongkorn University,0.0
