Rank,University,Lowest Place,#
1,Kasetsart University,11th,1
2,King Mongkut's Institute of Technology Ladkrabang,12th,1
3,King Mongkut's University of Technology Thonburi,13th,1
4,Chulalongkorn University,25th,1
5,Maejo University,26th,1
6,Siam University,35th,1
7,Thai-Nichi Institute of Technology,35th,1
8,Prince of Songkla University,37th,1
