Rank,University,Lowest Place,#
1,Technical University of Munich,1st,11
2,Universität Stuttgart,1st,7
3,Karlsruhe Institute of Technology,1st,4
4,Westsächsische Hochschule Zwickau,1st,4
5,Duale Hochschule Baden-Württemberg Stuttgart,1st,2
6,Technische Universität Darmstadt,1st,2
7,Fachhochschule München,1st,1
8,Hochschule Bonn-Rhein-Sieg,1st,1
9,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,1
10,Rheinisch-Westfälische Technische Hochschule Aachen,1st,1
11,Technische Universität Bergakademie Freiberg,1st,1
12,Technische Universität Dresden,1st,1
13,Ostfalia University of Applied Sciences,2nd,1
14,Universität Paderborn,2nd,1
15,Fachhochschule Kiel,3rd,1
16,Hochschule Aalen - Technik und Wirtschaft,3rd,1
17,Hochschule für angewandte Wissenschaften Augsburg,3rd,1
18,Technische Universität Kaiserslautern,3rd,1
19,Universität Bayreuth,3rd,1
20,Universität Siegen,3rd,1
21,Deggendorf Institute of Technology,4th,2
22,Technische Universität Hamburg,4th,1
23,Hochschule Esslingen,5th,1
24,Hochschule RheinMain,5th,1
25,Technische Hochschule Ingolstadt,5th,1
26,Technische Universität Ilmenau,5th,1
27,UAS Würzburg-Schweinfurt,5th,1
28,Georg-Simon-Ohm-Hochschule Nürnberg,6th,1
29,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,6th,1
30,Hochschule Ruhr West - UAS,6th,1
31,Ostbayerische Technische Hochschule Regensburg,6th,1
32,Technische Universität Clausthal,6th,1
33,Technische Hochschule Köln,7th,3
34,Leibniz Universität Hannover,7th,2
35,Duale Hochschule Baden-Württemberg - Mannheim,7th,1
36,Fachhochschule Konstanz,7th,1
37,Fachhochschule Osnabrück,7th,1
38,Hochschule für Angewandte Wissenschaften Hof,7th,1
39,Technische Universität Braunschweig,7th,1
40,Ulm University of Applied Sciences,8th,1
41,Fachhochschule für Wirtschaft und Technik,9th,1
42,Hochschule Mannheim,9th,1
43,Universität Duisburg-Essen,9th,1
44,Hochschule Landshut,11th,1
45,Saarland University,11th,1
46,Technische Universität Berlin,14th,1
47,Friedrich-Alexander-Universität Erlangen-Nürnberg,17th,1
48,Hochschule Pforzheim,19th,1
49,Duale Hochschule Baden-Württemberg Mosbach,N/A,0
50,Hochschule Darmstadt UAS,N/A,0
51,Hochschule Düsseldorf,N/A,0
52,Hochschule für Technik und Wirtschaft Mittweida,N/A,0
53,Hochschule Karlsruhe - Technik und Wirtschaft,N/A,0
54,Hochschule Niederrhein,N/A,0
55,Otto-von-Guericke-Universität Magdeburg,N/A,0
56,Rhein-Waal University of Applied Sciences,N/A,0
57,Ruhr-Universität Bochum,N/A,0
58,Technische Hochschule Ostwestfalen-Lippe,N/A,0
59,Technische Universität Chemnitz,N/A,0
60,Technische Universität Dortmund,N/A,0
61,UAS Kempten,N/A,0
62,University of Applied Sciences Ravensburg-Weingarten,N/A,0
63,Universität Bremen,N/A,0
64,Universität der Bundeswehr München,N/A,0
65,Universität Kassel,N/A,0
