Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,15
2,Duale Hochschule Baden-Württemberg Stuttgart,1st,5
3,Karlsruhe Institute of Technology,1st,5
4,Technische Universität Dresden,1st,5
5,Technical University of Munich,1st,4
6,Hochschule Bonn-Rhein-Sieg,1st,2
7,Technische Universität Darmstadt,1st,2
8,Leibniz Universität Hannover,1st,1
9,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,1
10,Ostfalia University of Applied Sciences,1st,1
11,Westsächsische Hochschule Zwickau,1st,1
12,Fachhochschule München,2nd,3
13,Rheinisch-Westfälische Technische Hochschule Aachen,2nd,2
14,Fachhochschule Kiel,2nd,1
15,Hochschule für angewandte Wissenschaften Augsburg,2nd,1
16,UAS Würzburg-Schweinfurt,2nd,1
17,Universität Bayreuth,2nd,1
18,Hochschule Mannheim,3rd,1
19,Ostbayerische Technische Hochschule Regensburg,3rd,1
20,Technische Hochschule Ingolstadt,3rd,1
21,Universität Siegen,4th,2
22,Georg-Simon-Ohm-Hochschule Nürnberg,4th,1
23,Hochschule Esslingen,4th,1
24,Technische Universität Bergakademie Freiberg,4th,1
25,Technische Universität Berlin,4th,1
26,Ulm University of Applied Sciences,4th,1
27,Hochschule RheinMain,5th,1
28,Technische Universität Hamburg,5th,1
29,Deggendorf Institute of Technology,6th,1
30,Hochschule Aalen - Technik und Wirtschaft,6th,1
31,Hochschule Pforzheim,6th,1
32,Technische Universität Braunschweig,6th,1
33,Technische Universität Clausthal,6th,1
34,University of Applied Sciences Ravensburg-Weingarten,6th,1
35,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,7th,2
36,Hochschule Ruhr West - UAS,7th,2
37,Hochschule für Angewandte Wissenschaften Hof,7th,1
38,Technische Hochschule Köln,7th,1
39,Universität Duisburg-Essen,7th,1
40,Universität Paderborn,7th,1
41,Duale Hochschule Baden-Württemberg - Mannheim,8th,1
42,Fachhochschule Osnabrück,8th,1
43,Fachhochschule für Wirtschaft und Technik,9th,1
44,Hochschule Niederrhein,9th,1
45,Saarland University,9th,1
46,Hochschule Landshut,10th,1
47,Technische Universität Kaiserslautern,10th,1
48,Technische Universität Ilmenau,11th,1
49,Friedrich-Alexander-Universität Erlangen-Nürnberg,13th,1
50,Fachhochschule Konstanz,15th,1
51,Universität Bremen,20th,1
52,Technische Universität Dortmund,36th,1
53,Duale Hochschule Baden-Württemberg Mosbach,N/A,0
54,Hochschule Darmstadt UAS,N/A,0
55,Hochschule Düsseldorf,N/A,0
56,Hochschule für Technik und Wirtschaft Mittweida,N/A,0
57,Hochschule Karlsruhe - Technik und Wirtschaft,N/A,0
58,Otto-von-Guericke-Universität Magdeburg,N/A,0
59,Rhein-Waal University of Applied Sciences,N/A,0
60,Ruhr-Universität Bochum,N/A,0
61,Technische Hochschule Ostwestfalen-Lippe,N/A,0
62,Technische Universität Chemnitz,N/A,0
63,UAS Kempten,N/A,0
64,Universität der Bundeswehr München,N/A,0
65,Universität Kassel,N/A,0
