Rank,University,Points
1,Universität Stuttgart,3858.62
2,Karlsruhe Institute of Technology,3363.74
3,Fachhochschule München,2998.97
4,Technische Universität Dresden,2837.44
5,Technical University of Munich,2831.59
6,Westsächsische Hochschule Zwickau,2680.71
7,Technische Universität Bergakademie Freiberg,2449.15
8,Duale Hochschule Baden-Württemberg Stuttgart,2348.45
9,Technische Universität Darmstadt,2339.16
10,Technische Universität Hamburg,2275.42
11,Rheinisch-Westfälische Technische Hochschule Aachen,2144.84
12,Hochschule Bonn-Rhein-Sieg,2123.63
13,Deggendorf Institute of Technology,2023.75
14,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2016.06
15,Leibniz Universität Hannover,1929.39
16,Fachhochschule Kiel,1813.47
17,Universität Bayreuth,1775.95
18,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,1625.34
19,Technische Hochschule Ingolstadt,1562.29
20,Fachhochschule für Wirtschaft und Technik,1475.02
21,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,1417.57
22,Ostfalia University of Applied Sciences,1410.6
23,Hochschule Esslingen,1395.52
24,Technische Universität Berlin,1380.85
25,Technische Hochschule Augsburg,1332.11
26,Hochschule RheinMain,1262.87
27,Georg-Simon-Ohm-Hochschule Nürnberg,1135.93
28,Ostbayerische Technische Hochschule Regensburg,1116.47
29,Fachhochschule Osnabrück,1061.42
30,UAS Würzburg-Schweinfurt,1013.03
31,Universität Siegen,929.69
32,Duale Hochschule Baden-Württemberg - Mannheim,888.52
33,Technische Hochschule Köln,887.44
34,University of Applied Sciences Ravensburg-Weingarten,860.7
35,Hochschule Aalen - Technik und Wirtschaft,792.3
36,Technische Universität Braunschweig,780.25
37,Universität Bremen,769.66
38,Fachhochschule Konstanz,763.14
39,Hochschule für Angewandte Wissenschaften Hamburg,744.15
40,Universität Paderborn,713.0
41,Friedrich-Alexander-Universität Erlangen-Nürnberg,661.2
42,Ulm University of Applied Sciences,617.3
43,Hochschule Pforzheim,595.83
44,Hochschule für Angewandte Wissenschaften Hof,572.68
45,Universität Kassel,535.05
46,Technische Universität Chemnitz,520.1
47,Hochschule Landshut,512.89
48,Ruhr-Universität Bochum,510.62
49,Technische Universität Ilmenau,481.79
50,Technische Universität Clausthal,466.66
51,UAS Kempten,433.59
52,Hochschule Darmstadt UAS,427.83
53,Universität Duisburg-Essen,422.06
54,Hochschule Mannheim,376.1
55,Saarland University,362.78
56,Hochschule Karlsruhe,355.72
57,Technische Universität Dortmund,318.78
58,Hochschule Düsseldorf,279.31
59,Hochschule Ruhr West - UAS,257.31
60,Otto-von-Guericke-Universität Magdeburg,242.72
61,Fachhochschule Stralsund,213.27
62,Technische Hochschule Ostwestfalen-Lippe,207.72
63,Hochschule Niederrhein,156.69
64,Hochschule für Technik und Wirtschaft Mittweida,148.54
65,Duale Hochschule Baden-Württemberg Mosbach,67.99
66,Universität der Bundeswehr München,47.36
67,Rhein-Waal University of Applied Sciences,0.0
