Rank,University,Points
1,Universität Stuttgart,3013.39
2,Karlsruhe Institute of Technology,2637.23
3,Technische Universität Dresden,2550.01
4,Technical University of Munich,2427.17
5,Fachhochschule München,2390.51
6,Technische Universität Darmstadt,2138.24
7,Westsächsische Hochschule Zwickau,2073.67
8,Duale Hochschule Baden-Württemberg Stuttgart,1935.3
9,Rheinisch-Westfälische Technische Hochschule Aachen,1810.1
10,Leibniz Universität Hannover,1687.85
11,Technische Universität Bergakademie Freiberg,1684.94
12,Technische Universität Hamburg,1656.96
13,Deggendorf Institute of Technology,1602.1
14,Fachhochschule Kiel,1548.89
15,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1528.09
16,Hochschule Bonn-Rhein-Sieg,1496.96
17,Hochschule Esslingen,1372.88
18,Universität Bayreuth,1329.0
19,Fachhochschule für Wirtschaft und Technik,1272.1
20,Technische Hochschule Ingolstadt,1157.06
21,Ostfalia University of Applied Sciences,1108.78
22,Technische Universität Berlin,1045.44
23,Technische Hochschule Augsburg,1036.38
24,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,1016.62
25,Georg-Simon-Ohm-Hochschule Nürnberg,993.09
26,Hochschule RheinMain,978.37
27,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,957.47
28,Hochschule Aalen - Technik und Wirtschaft,873.84
29,Ostbayerische Technische Hochschule Regensburg,855.12
30,Technische Hochschule Köln,838.02
31,Fachhochschule Osnabrück,778.74
32,Universität Siegen,765.87
33,UAS Würzburg-Schweinfurt,694.44
34,Universität Duisburg-Essen,648.41
35,Technische Universität Braunschweig,619.7
36,Hochschule für Angewandte Wissenschaften Hof,615.19
37,Universität Paderborn,603.84
38,Fachhochschule Konstanz,594.65
39,Universität Bremen,584.26
40,Duale Hochschule Baden-Württemberg - Mannheim,558.47
41,Technische Universität Ilmenau,536.88
42,University of Applied Sciences Ravensburg-Weingarten,507.13
43,Hochschule Pforzheim,493.91
44,Hochschule Mannheim,473.49
45,Hochschule Darmstadt UAS,471.01
46,Universität Kassel,463.76
47,Hochschule für Angewandte Wissenschaften Hamburg,439.29
48,Ulm University of Applied Sciences,435.5
49,Technische Universität Chemnitz,433.77
50,Hochschule Landshut,423.35
51,Technische Universität Clausthal,392.88
52,Ruhr-Universität Bochum,389.59
53,UAS Kempten,309.51
54,Friedrich-Alexander-Universität Erlangen-Nürnberg,302.81
55,Technische Universität Dortmund,291.82
56,Saarland University,283.8
57,Hochschule Ruhr West - UAS,257.89
58,Hochschule Karlsruhe,256.9
59,Technische Hochschule Ostwestfalen-Lippe,230.75
60,Hochschule Düsseldorf,226.38
61,Otto-von-Guericke-Universität Magdeburg,214.32
62,Hochschule Niederrhein,133.66
63,Fachhochschule Stralsund,127.23
64,Hochschule für Technik und Wirtschaft Mittweida,118.74
65,Duale Hochschule Baden-Württemberg Mosbach,48.88
66,Universität der Bundeswehr München,21.99
67,Rhein-Waal University of Applied Sciences,21.6
