Rank,University,Points
1,Universität Stuttgart,190.78
2,Duale Hochschule Baden-Württemberg Stuttgart,154.11
3,Technische Universität Bergakademie Freiberg,145.77
4,Karlsruhe Institute of Technology,145.74
5,Westsächsische Hochschule Zwickau,127.07
6,Technical University of Munich,116.81
7,Hochschule Bonn-Rhein-Sieg,107.69
8,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),93.27
9,Hochschule Esslingen,88.14
10,Fachhochschule Osnabrück,84.67
11,Fachhochschule München,84.54
12,Technische Hochschule Ingolstadt,82.69
13,Rheinisch-Westfälische Technische Hochschule Aachen,81.68
14,Georg-Simon-Ohm-Hochschule Nürnberg,75.32
15,Technische Universität Dresden,68.36
16,Ostfalia University of Applied Sciences,68.32
17,Universität Bayreuth,66.7
18,Universität Siegen,60.09
19,Technische Universität Hamburg,49.83
20,Deggendorf Institute of Technology,49.4
21,Duale Hochschule Baden-Württemberg - Mannheim,42.05
22,Fachhochschule Kiel,40.94
23,UAS Würzburg-Schweinfurt,37.57
24,Ostbayerische Technische Hochschule Regensburg,37.48
25,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,36.03
26,Technische Universität Darmstadt,34.22
27,Hochschule RheinMain,27.42
28,Hochschule für angewandte Wissenschaften Augsburg,25.71
29,Leibniz Universität Hannover,23.71
30,Hochschule Landshut,22.28
31,Technische Hochschule Köln,15.14
32,Universität Duisburg-Essen,13.5
33,Technische Universität Kaiserslautern,13.27
34,Technische Universität Clausthal,11.15
35,Universität Paderborn,10.0
36,Hochschule Darmstadt UAS,8.33
37,Technische Universität Ilmenau,7.69
38,Saarland University,7.46
39,Hochschule Ruhr West - UAS,7.0
40,Hochschule Aalen - Technik und Wirtschaft,4.92
41,Fachhochschule Konstanz,4.17
42,Hochschule für Angewandte Wissenschaften Hof,4.12
43,Hochschule Mannheim,3.57
44,Technische Universität Braunschweig,3.44
45,Fachhochschule für Wirtschaft und Technik,3.24
46,Universität Bremen,2.0
47,Duale Hochschule Baden-Württemberg Mosbach,0.0
48,Friedrich-Alexander-Universität Erlangen-Nürnberg,0.0
49,Hochschule Düsseldorf,0.0
50,Hochschule für Technik und Wirtschaft Mittweida,0.0
51,Hochschule Karlsruhe - Technik und Wirtschaft,0.0
52,Hochschule Niederrhein,0.0
53,Hochschule Pforzheim,0.0
54,Otto-von-Guericke-Universität Magdeburg,0.0
55,Rhein-Waal University of Applied Sciences,0.0
56,Ruhr-Universität Bochum,0.0
57,Technische Hochschule Ostwestfalen-Lippe,0.0
58,Technische Universität Berlin,0.0
59,Technische Universität Chemnitz,0.0
60,Technische Universität Dortmund,0.0
61,UAS Kempten,0.0
62,Ulm University of Applied Sciences,0.0
63,University of Applied Sciences Ravensburg-Weingarten,0.0
64,Universität der Bundeswehr München,0.0
65,Universität Kassel,0.0
