Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,5
2,Technical University of Munich,1st,4
3,Westsächsische Hochschule Zwickau,1st,4
4,Hochschule Bonn-Rhein-Sieg,1st,2
5,Duale Hochschule Baden-Württemberg Stuttgart,1st,1
6,Karlsruhe Institute of Technology,1st,1
7,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,1
8,Technische Universität Darmstadt,1st,1
9,Fachhochschule München,2nd,2
10,Technische Hochschule Ingolstadt,2nd,1
11,Technische Universität Bergakademie Freiberg,2nd,1
12,Hochschule Esslingen,3rd,2
13,Universität Siegen,3rd,2
14,Leibniz Universität Hannover,3rd,1
15,Rheinisch-Westfälische Technische Hochschule Aachen,3rd,1
16,Technische Universität Dresden,3rd,1
17,Fachhochschule Osnabrück,4th,1
18,Hochschule Aalen - Technik und Wirtschaft,4th,1
19,Technische Hochschule Köln,4th,1
20,Technische Universität Braunschweig,4th,1
21,Universität Bayreuth,4th,1
22,Technische Universität Hamburg,5th,2
23,Deggendorf Institute of Technology,5th,1
24,Hochschule Mannheim,5th,1
25,Hochschule RheinMain,5th,1
26,Technische Universität Berlin,5th,1
27,Universität Paderborn,5th,1
28,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,6th,2
29,Duale Hochschule Baden-Württemberg - Mannheim,6th,1
30,Ostfalia University of Applied Sciences,6th,1
31,Technische Universität Clausthal,7th,1
32,Fachhochschule Kiel,8th,3
33,Fachhochschule für Wirtschaft und Technik,8th,1
34,Georg-Simon-Ohm-Hochschule Nürnberg,8th,1
35,Hochschule für angewandte Wissenschaften Augsburg,8th,1
36,Technische Universität Ilmenau,8th,1
37,UAS Würzburg-Schweinfurt,8th,1
38,Ostbayerische Technische Hochschule Regensburg,9th,1
39,Saarland University,9th,1
40,Universität Duisburg-Essen,9th,1
41,Hochschule für Angewandte Wissenschaften Hof,10th,1
42,Hochschule Landshut,10th,1
43,Hochschule Ruhr West - UAS,10th,1
44,UAS Kempten,10th,1
45,Technische Universität Chemnitz,11th,1
46,Technische Universität Kaiserslautern,12th,2
47,Duale Hochschule Baden-Württemberg Mosbach,12th,1
48,Fachhochschule Konstanz,12th,1
49,Technische Hochschule Ostwestfalen-Lippe,12th,1
50,Ulm University of Applied Sciences,12th,1
51,University of Applied Sciences Ravensburg-Weingarten,12th,1
52,Hochschule Darmstadt UAS,14th,1
53,Hochschule Düsseldorf,14th,1
54,Hochschule Niederrhein,14th,1
55,Universität Bremen,15th,1
56,Universität Kassel,15th,1
57,Hochschule Pforzheim,17th,1
58,Otto-von-Guericke-Universität Magdeburg,17th,1
59,Technische Universität Dortmund,17th,1
60,Hochschule für Technik und Wirtschaft Mittweida,18th,1
61,Friedrich-Alexander-Universität Erlangen-Nürnberg,22nd,1
62,Hochschule Karlsruhe - Technik und Wirtschaft,24th,1
63,Ruhr-Universität Bochum,26th,1
64,Universität der Bundeswehr München,38th,1
65,Rhein-Waal University of Applied Sciences,N/A,0
