Rank,University,Points
1,Duale Hochschule Baden-Württemberg Stuttgart,59.09
2,Technische Universität Bergakademie Freiberg,55.67
3,Karlsruhe Institute of Technology,55.37
4,Universität Stuttgart,55.33
5,Westsächsische Hochschule Zwickau,55.12
6,Georg-Simon-Ohm-Hochschule Nürnberg,52.32
7,Hochschule Bonn-Rhein-Sieg,49.54
8,Technical University of Munich,48.15
9,Fachhochschule Osnabrück,45.27
10,Rheinisch-Westfälische Technische Hochschule Aachen,43.63
11,Technische Hochschule Ingolstadt,43.01
12,Fachhochschule München,40.91
13,Ostfalia University of Applied Sciences,38.19
14,Hochschule für angewandte Wissenschaften Augsburg,36.01
15,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),34.69
16,Hochschule Esslingen,34.14
17,Deggendorf Institute of Technology,32.69
18,Universität Bayreuth,31.47
19,Fachhochschule Kiel,31.12
20,Technische Universität Dresden,30.45
21,Technische Universität Hamburg,30.43
22,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,26.74
23,Universität Siegen,24.68
24,Technische Universität Darmstadt,22.15
25,Technische Universität Kaiserslautern,20.47
26,UAS Würzburg-Schweinfurt,18.42
27,Duale Hochschule Baden-Württemberg - Mannheim,17.97
28,Hochschule Landshut,17.34
29,Saarland University,16.18
30,Ostbayerische Technische Hochschule Regensburg,15.48
31,Technische Hochschule Köln,14.79
32,Hochschule RheinMain,14.62
33,Leibniz Universität Hannover,13.1
34,Technische Universität Ilmenau,12.26
35,Hochschule Mannheim,11.98
36,Technische Universität Clausthal,11.08
37,Hochschule Aalen - Technik und Wirtschaft,7.28
38,Universität Duisburg-Essen,6.68
39,Technische Universität Braunschweig,6.25
40,Fachhochschule für Wirtschaft und Technik,2.95
41,Duale Hochschule Baden-Württemberg Mosbach,0.0
42,Fachhochschule Konstanz,0.0
43,Friedrich-Alexander-Universität Erlangen-Nürnberg,0.0
44,Hochschule Darmstadt UAS,0.0
45,Hochschule Düsseldorf,0.0
46,Hochschule für Angewandte Wissenschaften Hof,0.0
47,Hochschule für Technik und Wirtschaft Mittweida,0.0
48,Hochschule Karlsruhe - Technik und Wirtschaft,0.0
49,Hochschule Niederrhein,0.0
50,Hochschule Pforzheim,0.0
51,Hochschule Ruhr West - UAS,0.0
52,Otto-von-Guericke-Universität Magdeburg,0.0
53,Rhein-Waal University of Applied Sciences,0.0
54,Ruhr-Universität Bochum,0.0
55,Technische Hochschule Ostwestfalen-Lippe,0.0
56,Technische Universität Berlin,0.0
57,Technische Universität Chemnitz,0.0
58,Technische Universität Dortmund,0.0
59,UAS Kempten,0.0
60,Ulm University of Applied Sciences,0.0
61,University of Applied Sciences Ravensburg-Weingarten,0.0
62,Universität Bremen,0.0
63,Universität der Bundeswehr München,0.0
64,Universität Kassel,0.0
65,Universität Paderborn,0.0
