Rank,University,Lowest Place,#
1,Technische Universität Bergakademie Freiberg,1st,4
2,Universität Stuttgart,1st,4
3,Hochschule für angewandte Wissenschaften Augsburg,1st,3
4,Karlsruhe Institute of Technology,1st,3
5,Fachhochschule München,1st,2
6,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,1st,2
7,UAS Würzburg-Schweinfurt,1st,2
8,Hochschule Aalen - Technik und Wirtschaft,1st,1
9,Hochschule Bonn-Rhein-Sieg,1st,1
10,Rheinisch-Westfälische Technische Hochschule Aachen,1st,1
11,Saarland University,1st,1
12,Technical University of Munich,1st,1
13,Technische Universität Berlin,1st,1
14,Technische Universität Hamburg,1st,1
15,Technische Universität Kaiserslautern,1st,1
16,University of Applied Sciences Ravensburg-Weingarten,1st,1
17,Westsächsische Hochschule Zwickau,1st,1
18,Fachhochschule für Wirtschaft und Technik,2nd,2
19,Universität Bayreuth,2nd,2
20,Leibniz Universität Hannover,2nd,1
21,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2nd,1
22,Ostbayerische Technische Hochschule Regensburg,2nd,1
23,Technische Universität Dresden,2nd,1
24,Duale Hochschule Baden-Württemberg Stuttgart,3rd,3
25,Deggendorf Institute of Technology,3rd,1
26,Fachhochschule Kiel,3rd,1
27,Ostfalia University of Applied Sciences,3rd,1
28,Fachhochschule Osnabrück,4th,1
29,Georg-Simon-Ohm-Hochschule Nürnberg,4th,1
30,Technische Universität Darmstadt,4th,1
31,Hochschule Esslingen,5th,2
32,Hochschule RheinMain,5th,1
33,Technische Hochschule Ingolstadt,5th,1
34,Universität Bremen,5th,1
35,Universität Siegen,5th,1
36,Duale Hochschule Baden-Württemberg Mosbach,6th,1
37,Technische Universität Chemnitz,6th,1
38,Otto-von-Guericke-Universität Magdeburg,7th,1
39,Technische Universität Braunschweig,7th,1
40,Technische Universität Ilmenau,7th,1
41,Technische Hochschule Köln,8th,2
42,Hochschule Mannheim,8th,1
43,Hochschule Niederrhein,8th,1
44,Universität Duisburg-Essen,8th,1
45,Universität Kassel,8th,1
46,Hochschule Karlsruhe - Technik und Wirtschaft,9th,1
47,Hochschule Pforzheim,9th,1
48,Technische Universität Clausthal,9th,1
49,Ulm University of Applied Sciences,9th,1
50,Duale Hochschule Baden-Württemberg - Mannheim,10th,3
51,Fachhochschule Konstanz,10th,1
52,Hochschule Landshut,10th,1
53,Technische Hochschule Ostwestfalen-Lippe,10th,1
54,Hochschule Darmstadt UAS,11th,1
55,Hochschule Ruhr West - UAS,11th,1
56,Hochschule für Angewandte Wissenschaften Hof,12th,1
57,Universität Paderborn,12th,1
58,Hochschule Düsseldorf,13th,1
59,Ruhr-Universität Bochum,14th,1
60,Friedrich-Alexander-Universität Erlangen-Nürnberg,15th,1
61,Technische Universität Dortmund,15th,1
62,UAS Kempten,15th,1
63,Hochschule für Technik und Wirtschaft Mittweida,19th,1
64,Universität der Bundeswehr München,34th,1
65,Rhein-Waal University of Applied Sciences,N/A,0
