Rank,University,Lowest Place,#
1,Universitatea Transilvania din Braşov,4th,1
2,Universitatea Politehnica Timișoara,10th,1
3,Gheorghe Asachi Technical University of Iaşi,11th,1
4,University Politehnica Of Bucharest,11th,1
