Rank,University,Points
1,University Politehnica Of Bucharest,60.15
2,Universitatea Transilvania din Braşov,43.25
3,Gheorghe Asachi Technical University of Iaşi,31.76
4,Universitatea Politehnica Timișoara,27.34
