Rank,University,Lowest Place,#
1,Gheorghe Asachi Technical University of Iaşi,12th,1
2,Universitatea Transilvania din Braşov,23rd,1
3,Universitatea Politehnica Timișoara,N/A,0
4,University Politehnica Of Bucharest,N/A,0
