Rank,University,Points
1,Universitatea Transilvania din Braşov,970.27
2,Gheorghe Asachi Technical University of Iaşi,266.43
3,Universitatea Politehnica Timișoara,51.79
4,University Politehnica Of Bucharest,50.0
