Rank,University,Lowest Place,#
1,Universitatea Transilvania din Braşov,9th,2
2,Gheorghe Asachi Technical University of Iaşi,13th,1
3,University Politehnica Of Bucharest,18th,1
4,Universitatea Politehnica Timișoara,32nd,1
