Rank,University,Lowest Place,#
1,Fachhochschule Joanneum Graz,1st,2
2,Technische Universität Wien,1st,2
3,Technische Universität Graz,2nd,1
4,Leopold-Franzens-Universität Innsbruck,9th,1
