Rank,University,Lowest Place,#
1,Fachhochschule Joanneum Graz,1st,6
2,Technische Universität Graz,1st,5
3,Technische Universität Wien,2nd,1
4,Leopold-Franzens-Universität Innsbruck,3rd,2
