Rank,University,Lowest Place,#
1,Czech Technical University in Prague,1st,1
2,VŠB - Technical University of Ostrava,1st,1
3,Brno University of Technology,2nd,2
4,Czech University of Life Sciences Prague,5th,1
5,Technical University of Liberec,8th,1
6,University of West Bohemia,10th,1
