Rank,University,Points
1,Czech Technical University in Prague,164.27
2,Brno University of Technology,150.27
3,University of West Bohemia,126.11
4,Czech University of Life Sciences Prague,113.7
5,VŠB - Technical University of Ostrava,70.7
6,Technical University of Liberec,44.54
