Rank,University,Points
1,Czech Technical University in Prague,2488.43
2,Brno University of Technology,2137.36
3,VŠB - Technical University of Ostrava,687.77
4,University of West Bohemia,615.15
5,Technical University of Liberec,359.46
6,Czech University of Life Sciences Prague,333.43
