Rank,University,#,Points
1,Shri G.S. Institute of Technology and Science Indore,1,91.56
2,Marathwada Mitra Mandal's College of Engineering,1,89.84
3,Arab Academy for Science Technology & Maritime Transport (AASTMT),1,87.45
4,Dwarkadas. J. Sanghvi College of Engineering,7,86.86142857142856
5,Smt. Kashibai Navale College of Engineering,6,85.86833333333334
6,Università degli Studi di Ferrara,3,83.66666666666667
7,Chungbuk National University,2,82.315
8,Università degli Studi di Firenze,13,81.97153846153847
9,Tsinghua University,1,81.2
10,MIT World Peace University,3,81.16000000000001
11,Universidad Simón Bolívar,19,80.98
12,Kookmin University,16,80.04374999999999
13,Széchenyi István University,20,78.887
14,Universität Stuttgart,67,78.61641791044777
15,COEP Technological University ,2,78.5
16,R.V.College of Engineering,17,78.43470588235293
17,Indian Institute of Technology Bombay,2,78.25
18,Universidad Central de Venezuela,10,78.09
19,Università di Pisa,24,77.83208333333333
20,University of Pennsylvania,7,77.72571428571429
21,PES University,3,77.66666666666667
22,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,9,77.61333333333334
23,Karlsruhe Institute of Technology,47,77.42255319148936
24,Centro Universitário da FEI,19,77.15263157894736
25,University of Toronto,36,76.86888888888889
26,Northern Illinois University,17,76.78588235294119
27,Central Piedmont Community College,2,76.6
28,Hochschule Esslingen,45,76.43711111111111
29,University of Strathclyde,29,76.07068965517242
30,University of Bath,41,76.00756097560976
31,University of Wollongong,22,75.95000000000002
32,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,1,75.9
33,Universidad del Zulia,3,75.85666666666667
34,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),24,75.76083333333334
35,Università della Calabria,11,75.44272727272727
36,Fachhochschule Stralsund,35,75.39571428571428
37,National Technical University of Athens,9,75.26777777777778
38,Bhartiya Institute of Engineering and Technology,1,75.21
39,Tennessee Technological University,13,75.11692307692309
40,University of Applied Sciences Ravensburg-Weingarten,32,74.93875
41,Vishwakarma Institute of Technology,2,74.85499999999999
42,University of Louisiana at Lafayette,4,74.6625
43,Monash University,32,74.6028125
44,University of Thessaly,13,74.59153846153846
45,University of Sheffield,12,74.41666666666667
46,Universidade Federal do Ceará,1,74.4
47,Università degli studi di Padova,29,74.2503448275862
48,Villanova University,12,74.19166666666666
49,Deggendorf Institute of Technology,4,73.945
50,Osaka University,17,73.75294117647059
51,Brno University of Technology,29,73.70206896551723
52,Politecnico di Torino,19,73.68
53,Indian Institute of Technology Roorkee,1,73.5
54,Friedrich-Alexander-Universität Erlangen-Nürnberg,39,73.1317948717949
55,Fachhochschule Coburg,48,73.118125
56,GFR DHBW Ravensburg & Oregon State University,36,73.09527777777777
57,École Centrale de Lyon,12,73.07416666666667
58,Cedarville University,7,72.98
59,Westsächsische Hochschule Zwickau,11,72.90636363636365
