Rank,University,#,Points
1,Pimpri Chinchwad College Of Engineering,1,61.05
2,Jilin University,1,58.28
3,GFR DHBW Ravensburg & Oregon State University,36,54.45444444444444
4,University of Canterbury,4,51.875
5,Hochschule Esslingen,45,51.25844444444445
6,Hanyang University,1,50.23
7,Universität Stuttgart,67,49.90373134328358
8,Universitat Politécnica de Valéncia,22,49.88681818181818
9,Technische Universität Graz,66,48.86515151515152
10,Monash University,32,47.988125
11,Fachhochschule Joanneum Graz,59,44.4422033898305
12,Karlsruhe Institute of Technology,47,44.303829787234044
13,Maejo University,1,43.98
14,Hochschule Karlsruhe - Technik und Wirtschaft,35,43.57999999999999
15,Czech Technical University in Prague,36,42.654722222222226
16,École de Technologie Superieure,40,41.95025
17,Instituto Tecnológico de Buenos Aires,1,41.8
18,Technische Universität Berlin,33,41.41030303030303
19,Brno University of Technology,29,41.227586206896554
20,Tallinn TU UAS,10,40.617999999999995
21,Technische Universität Bergakademie Freiberg,10,40.24999999999999
22,Technical University of Munich,46,40.09869565217391
23,Westsächsische Hochschule Zwickau,11,39.93272727272727
24,Centro Universitário da FEI,19,39.43736842105263
25,Pellissippi State Community College,2,38.95
26,Fachhochschule Stralsund,35,38.15685714285714
27,San José State University,21,37.971428571428575
28,Nelson Mandela Metropolitan University,1,37.9
29,Kyoto Institute of Technology,13,37.698461538461544
30,Technische Universität Braunschweig,16,37.619375
31,COEP Technological University ,2,37.5
32,Missouri University of Science and Technology,43,37.49023255813953
33,Smt. Kashibai Navale College of Engineering,6,37.464999999999996
34,Griffith University,5,37.339999999999996
35,University of Texas at Arlington,29,37.26241379310345
36,Fachhochschule Coburg,48,37.087916666666665
37,Széchenyi István University,20,36.543499999999995
38,Norwegian University of Science and Technology,4,36.5175
39,Texas A&M University,20,36.40650000000001
40,University of Michigan - Ann Arbor,43,36.31116279069768
41,ETH Zürich,8,36.17125
42,University of West Bohemia,10,35.92
43,Universität Siegen,3,35.81333333333333
44,Helsinki Metropolia University of Applied Sciences,24,35.69416666666667
45,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),24,35.684583333333336
46,University of Washington,31,35.61870967741935
47,The University of Akron,49,35.44632653061224
48,Oxford Brookes University,41,35.220975609756096
49,Białystok University of Technology,25,35.000400000000006
50,TU Delft,16,34.94
51,Universität Kassel,21,34.90666666666667
52,Ostbayerische Technische Hochschule Regensburg,32,34.782187500000006
53,Sophia University,28,34.75928571428572
54,University of Wollongong,22,34.578181818181825
55,Aristotle University of Thessaloniki,22,34.235454545454544
56,Fachhochschule Kiel,12,34.1325
57,Fachhochschule für Wirtschaft und Technik,3,33.97666666666667
58,Alma Mater Studiorum - Università di Bologna,25,33.86840000000001
59,Kookmin University,16,33.42125
60,Rochester Institute of Technology,51,33.27980392156863
61,Poznan University of Technology,11,33.27454545454545
62,University of Bath,41,32.84219512195122
63,Escola de Engenharia de São Carlos da Universidade de São Paulo,15,32.723333333333336
64,Duale Hochschule Baden-Württemberg Ravensburg,8,32.56125
65,University of California Berkeley,15,32.54
66,Friedrich-Alexander-Universität Erlangen-Nürnberg,39,32.487692307692306
67,Cornell University,27,32.42666666666667
68,University of Queensland,18,32.38111111111111
69,University of Western Australia,21,32.34809523809523
70,Hochschule für Angewandte Wissenschaften Hamburg,48,32.305
71,Santa Clara University,1,32.25
72,Budapest University of Technology and Economics,17,32.19411764705882
73,Osaka University,17,32.17
74,Edith Cowan University,12,32.035833333333336
75,North Carolina State University,25,31.996400000000005
76,University of Applied Sciences Ravensburg-Weingarten,32,31.989375
77,VŠB - Technical University of Ostrava,11,31.983636363636364
78,UAS Würzburg-Schweinfurt,20,31.929000000000002
79,University Of Hertfordshire,34,31.89205882352941
80,University of Auckland,13,31.766923076923078
81,Yokohama National University,15,31.66933333333333
82,Wroclaw University of Technology,31,31.516129032258064
83,Universität Paderborn,35,31.5
84,Kasetsart University,5,31.341999999999995
85,Fachhochschule München,34,31.273529411764706
86,Universidad LaSalle,1,31.22
87,University of Wisconsin-Madison,36,31.15305555555555
88,National Technical University of Athens,9,30.973333333333333
89,Università degli studi di Padova,29,30.907586206896553
90,Technische Hochschule Mittelhessen,16,30.845
91,Hope College,5,30.2
92,California State Polytechnic University Pomona,31,30.177741935483866
93,Technische Universität Wien,15,30.142
94,University of Minnesota Twin Cities,22,30.02045454545454
95,RMIT University,26,30.005384615384614
96,Kyoto University,16,29.964375
97,University of Virginia,1,29.8
98,Democritus University of Thrace,2,29.615
99,Politecnico di Milano,24,29.585416666666664
100,Liverpool John Moores University,11,29.53818181818182
101,Tongji University,12,29.4675
102,Auburn University,38,29.46736842105263
103,Chalmers University of Technology,22,29.45590909090909
104,University of Illinois at Urbana-Champaign,40,29.322249999999997
105,Nagoya Institute of Technology,17,29.240000000000002
106,Kanagawa Institute of Technology,15,28.926000000000002
107,University of Missouri,37,28.862432432432428
108,Nihon Automobile College,10,28.822999999999997
109,Utsunomiya University,17,28.623529411764707
110,Michigan State University,35,28.50428571428571
111,TAMK University of Applied Sciences,22,28.303636363636368
112,Brigham Young University,3,28.150000000000002
113,University of Modena and Reggio Emilia,32,27.919375
114,Curtin University,15,27.693333333333335
115,Technische Universität Ilmenau,2,27.619999999999997
116,Shibaura Institute of Technology,20,27.616999999999997
117,Technische Universiteit Eindhoven,12,27.474999999999998
118,Clemson University,26,27.451153846153847
119,Ostfalia University of Applied Sciences,13,27.39307692307693
120,Virginia Polytechnic Institute and State University,31,27.361290322580647
121,University of the West of England,10,27.275
122,University of Oklahoma,31,27.194193548387094
123,Politecnico di Torino,19,27.133684210526315
124,Hubei University of Automotive Technology,5,27.088
