Rank,University,#,Points
1,Instituto Tecnológico de Buenos Aires,1,86.6
2,Kasetsart University,5,73.464
3,Jilin University,1,73.18
4,University of Virginia,1,68.8
5,Liaoning University of Technology,1,68.79
6,Griffith University,5,67.24
7,University of West Bohemia,10,64.287
8,Hubei University of Automotive Technology,5,63.83
9,Fachhochschule Kiel,12,63.01916666666667
10,Czech Technical University in Prague,36,62.994166666666665
11,San José State University,21,62.642857142857146
12,Tallinn TU UAS,10,61.992
13,Technische Universität Graz,66,61.443030303030305
14,ETH Zürich,8,61.0
15,Universität Stuttgart,67,60.842835820895516
16,Cornell University,27,60.73074074074074
17,Kookmin University,16,60.421875
18,University of Michigan - Ann Arbor,43,60.15418604651163
19,Pimpri Chinchwad College Of Engineering,1,59.49
20,Alma Mater Studiorum - Università di Bologna,25,59.41799999999999
21,GFR DHBW Ravensburg & Oregon State University,36,58.932500000000005
22,Yokohama National University,15,58.36133333333334
23,North Carolina State University,25,58.274800000000006
24,Villanova University,12,58.241666666666674
25,Nihon Automobile College,10,57.948
26,Texas A&M University,20,57.81099999999999
27,Universidad LaSalle,1,57.79
28,Hochschule Esslingen,45,57.77288888888889
29,Fachhochschule Coburg,48,57.75208333333334
30,Brigham Young University,3,57.56666666666666
31,Helsinki Metropolia University of Applied Sciences,24,56.826666666666675
32,Poznan University of Technology,11,55.942727272727275
33,Universitat Politécnica de Valéncia,22,55.469090909090916
34,Osaka University,17,55.15882352941177
35,Michigan State University,35,55.06285714285715
36,Technische Hochschule Mittelhessen,16,55.020625
37,University of Wales Trinity Saint David,10,54.955
38,Guangxi University of Science and Technology,1,54.89
39,University of Illinois at Urbana-Champaign,40,54.674
40,Rochester Institute of Technology,51,54.456078431372546
41,Missouri University of Science and Technology,43,54.439302325581394
42,Technische Universität Bergakademie Freiberg,10,54.212
43,Kanazawa Institute of Technology,14,54.18214285714286
44,Westsächsische Hochschule Zwickau,11,54.09454545454546
45,Auburn University,38,53.672105263157896
46,Università della Calabria,11,53.43818181818181
47,Chiba University,15,52.95866666666667
48,Dr. D. Y. Patil Institute Of Engineering and Technology,2,52.905
49,University of Oulu,2,52.75
50,Aristotle University of Thessaloniki,22,52.70045454545454
51,Norwegian University of Science and Technology,4,52.6875
52,Università degli studi di Padova,29,52.44965517241379
53,University of Wollongong,22,52.40545454545454
54,Saginaw Valley State University,21,52.39809523809523
55,Centro Universitário da FEI,19,52.33473684210526
56,Fachhochschule Joanneum Graz,59,52.166779661016946
57,Karlsruhe Institute of Technology,47,52.12340425531915
58,Chalmers University of Technology,22,52.061818181818175
59,Oregon State University,14,52.044285714285714
60,California State University Northridge,22,51.98499999999999
61,Nagoya University,13,51.809999999999995
62,University of Florida,27,51.72370370370371
63,University of Texas at Arlington,29,51.70379310344827
64,Yıldız Technical University,15,51.35733333333333
65,Wroclaw University of Technology,31,51.313225806451605
66,Maejo University,1,51.24
67,The Ohio State University,34,51.16088235294118
68,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),24,51.02458333333334
69,VŠB - Technical University of Ostrava,11,50.76999999999999
70,Technische Universiteit Eindhoven,12,50.255833333333335
71,University of Washington,31,50.20193548387098
72,National University of Singapore,16,50.135000000000005
73,California State Polytechnic University Pomona,31,50.060645161290324
74,University of Applied Sciences Ravensburg-Weingarten,32,50.014375
75,University of Queensland,18,49.995
76,Santa Clara University,1,49.96
77,Duale Hochschule Baden-Württemberg Ravensburg,8,49.91875
78,Brno University of Technology,29,49.833103448275864
79,TU Delft,16,49.82625
80,Hochschule Karlsruhe - Technik und Wirtschaft,35,49.74885714285714
81,Utsunomiya University,17,49.74
82,Technical University of Munich,46,49.660869565217396
83,Białystok University of Technology,25,49.5424
84,Pennsylvania State University,27,49.46555555555556
85,Technische Universität Braunschweig,16,49.444374999999994
86,The University of Akron,49,49.43469387755103
87,Technische Universität Wien,15,49.417333333333325
88,École de Technologie Superieure,40,49.237750000000005
89,Centro Universitário Facens,19,49.06947368421052
90,Prince of Songkla University,5,48.742
91,University of Wisconsin-Madison,36,48.424722222222215
92,Ostbayerische Technische Hochschule Regensburg,32,48.379062499999996
93,Fachhochschule München,34,48.26529411764706
94,Universität Siegen,3,47.93666666666667
95,University of Modena and Reggio Emilia,32,47.8
96,University Of Hertfordshire,34,47.7764705882353
97,Edith Cowan University,12,47.550833333333344
98,École Centrale de Lyon,12,47.50083333333333
99,Kyoto University,16,47.46875
100,Universidade Federal de Minas Gerais,7,47.387142857142855
101,University of New South Wales,20,47.299
102,University of Waterloo,33,47.172121212121205
103,Tokyo Metropolitan College of Industrial Technology,1,47.14
104,Toyohashi University of Technology,12,47.1325
105,Teikyo University,3,47.01666666666667
106,Swinburne University of Technology,11,46.99181818181818
107,University of Maryland,21,46.97190476190475
108,University of Nebraska–Lincoln,15,46.86533333333333
109,University of Western Australia,21,46.73238095238095
110,University of Missouri,37,46.300000000000004
111,Monash University,32,46.2675
112,Georgia Southern University,13,46.184615384615384
113,Universidade Independente,1,46.17
