Rank,University,#,Points
1,Maejo University,1,127.27
2,Texas A&M University,20,126.58599999999998
3,University of Texas at Arlington,29,118.0996551724138
4,Universidad LaSalle,1,113.23
5,Yokohama National University,15,112.60999999999999
6,GFR DHBW Ravensburg & Oregon State University,36,111.97722222222222
7,Missouri University of Science and Technology,43,111.86511627906977
8,Universität Stuttgart,67,110.89164179104478
9,Kyoto Institute of Technology,13,106.78846153846153
10,Kyoto University,16,106.7175
11,Ibaraki University,14,105.62857142857145
12,Centro Universitário da FEI,19,105.56157894736843
13,ETH Zürich,8,104.16625
14,Technical University of Munich,46,103.21260869565215
15,TU Delft,16,101.236875
16,University of Wollongong,22,101.13045454545454
17,Nihon Automobile College,10,100.49600000000001
18,Pimpri Chinchwad College Of Engineering,1,100.0
19,University of Washington,31,99.7258064516129
20,Rochester Institute of Technology,51,99.5058823529412
21,Nagoya Institute of Technology,17,99.36352941176472
22,Technische Universität Graz,66,99.34166666666668
23,École de Technologie Superieure,40,97.76575
24,University of Wisconsin-Madison,36,97.74277777777777
25,Helsinki Metropolia University of Applied Sciences,24,97.46875
26,Cornell University,27,97.30444444444444
27,Monash University,32,97.043125
28,Siam University,3,96.07333333333334
29,Kasetsart University,5,94.312
30,Utsunomiya University,17,94.08647058823529
31,University of Western Australia,21,92.29095238095236
32,Osaka University,17,91.20176470588235
33,Liaoning University of Technology,1,90.95
34,Nagoya University,13,90.69307692307694
35,University of Florida,27,90.44074074074075
36,Sophia University,28,90.2125
37,Kanazawa Institute of Technology,14,89.86928571428571
38,Oregon State University,14,89.62214285714285
39,Chiba University,15,89.16733333333332
40,University of Michigan - Ann Arbor,43,89.09906976744188
41,King Mongkut's University of Technology Thonburi,8,88.74000000000001
42,San José State University,21,88.43809523809524
43,University of Illinois at Urbana-Champaign,40,88.405
44,Fachhochschule Joanneum Graz,59,88.02796610169493
45,Shibaura Institute of Technology,20,87.878
46,Hochschule Esslingen,45,87.78155555555556
47,Swinburne University of Technology,11,87.06272727272727
48,Escola de Engenharia de São Carlos da Universidade de São Paulo,15,86.68133333333336
49,University of Kansas,42,86.43452380952381
50,Michigan State University,35,85.68457142857143
51,Georgia Institute of Technology,29,85.6355172413793
52,Centro Universitário Facens,19,85.0221052631579
53,Shizuoka Institute of Science and Technology,14,84.92785714285715
54,The University of Akron,49,84.77836734693878
55,Ajou University,1,84.61
56,Westsächsische Hochschule Zwickau,11,83.60272727272728
57,The Ohio State University,34,83.45970588235295
58,Oxford Brookes University,41,83.34682926829268
59,Universitas Negeri Yogyakarta,5,82.92399999999999
60,Czech Technical University in Prague,36,82.00916666666666
61,Hanyang University,1,82.0
62,Tallinn TU UAS,10,81.99000000000001
63,California State University Northridge,22,81.42772727272728
64,RMIT University,26,81.30115384615384
65,University of Missouri,37,81.21594594594595
66,Virginia Polytechnic Institute and State University,31,80.90387096774194
67,Zhejiang University City College,1,80.82
68,Prince of Songkla University,5,80.77999999999999
69,Karlsruhe Institute of Technology,47,80.65531914893619
70,Tokyo City University,17,80.49823529411763
71,The University of Tokyo,14,80.24142857142859
72,Technische Universität Braunschweig,16,79.93625
73,Osaka Sangyo University,13,79.82692307692308
74,Dartmouth College,17,79.60235294117648
75,University of Auckland,13,79.48846153846154
76,California State Polytechnic University Pomona,31,79.40064516129031
77,Chalmers University of Technology,22,77.18727272727273
78,Purdue University - West Lafayette,29,76.89310344827585
79,Nippon Institute of Technology,11,76.72727272727273
80,Auburn University,38,76.68263157894735
81,Beijing Institute of Technology,2,76.515
82,Kookmin University,16,76.40875
83,Western Washington University,18,75.12166666666666
84,University of Canterbury,4,74.80000000000001
85,Instituto Tecnológico de Buenos Aires,1,74.7
86,Universität Kassel,21,74.08952380952383
87,Hochschule für Angewandte Wissenschaften Hamburg,48,73.69541666666667
88,Technische Universität Bergakademie Freiberg,10,73.399
89,Tokyo Institute of Technology,2,73.25
90,Shizuoka University,16,73.2175
91,Tokai University,20,73.197
92,Santa Clara University,1,73.09
93,Universidade Federal de Minas Gerais,7,72.77142857142857
94,Clemson University,26,72.7223076923077
95,Kanazawa University,18,72.62722222222223
96,University of Virginia,1,72.2
97,École Polytechnique de Montréal,30,72.16100000000002
