Rank,University,#,Points
1,Hokkaido Automotive Engineering College,1,100.0
2,Democritus University of Thrace,2,88.7
3,Instituto Tecnológico de Buenos Aires,1,82.1
4,Beijing Institute of Technology,2,71.405
5,Ferdowsi University of Mashad,1,67.88
6,Nippon Institute of Technology,11,67.19909090909091
7,Prince of Songkla University,5,61.088
8,Togliatti State University,4,59.517500000000005
9,Gujarat Technological University,5,57.052
10,Universitas Negeri Yogyakarta,5,55.92999999999999
11,GFR DHBW Ravensburg & Oregon State University,36,53.89111111111111
12,WIZ International College of Information and Technology,1,52.14
13,Széchenyi István University,20,51.608000000000004
14,Nihon Automobile College,10,51.464
15,Tongji University,12,51.30250000000001
16,University of the Pacific,1,50.2
17,Siam University,3,49.75666666666667
18,Universität Stuttgart,67,49.33626865671641
19,Kyoto Institute of Technology,13,49.041538461538465
20,Brno University of Technology,29,48.09379310344828
21,Technische Universität Berlin,33,47.03333333333333
22,Technische Universität Graz,66,45.94863636363637
23,Rose-Hulman Institute of Technology,12,45.44166666666666
24,King Mongkut's University of Technology Thonburi,8,45.055
25,California Baptist University,4,44.4
26,Hochschule Esslingen,45,42.61377777777778
27,Thai-Nichi Institute of Technology,3,42.42
28,Friedrich-Alexander-Universität Erlangen-Nürnberg,39,42.30256410256411
29,San José State University,21,41.385714285714286
30,University of Yamanashi,13,41.16769230769231
31,VŠB - Technical University of Ostrava,11,40.97454545454545
32,Villanova University,12,40.74166666666667
33,Centro Universitário Facens,19,40.64000000000001
34,Nagoya Institute of Technology,17,40.25470588235294
35,National Taipei University of Technology,3,39.94
36,Yokohama National University,15,39.01866666666667
37,Wroclaw University of Technology,31,38.364516129032246
38,Centro Universitário da FEI,19,38.0478947368421
39,Griffith University,5,37.839999999999996
40,National Tsing Hua University,3,37.73666666666667
41,National University of Singapore,16,37.70625
42,Recinto Universitario de Mayagüez,3,37.6
43,Hochschule Darmstadt UAS,31,37.58483870967742
44,Osaka University,17,37.341764705882355
45,Hope College,5,36.760000000000005
46,University of Virginia,1,36.4
47,Hochschule Pforzheim,15,35.611999999999995
48,Hubei University of Automotive Technology,5,35.508
49,Fachhochschule Coburg,48,35.38270833333333
50,Alma Mater Studiorum - Università di Bologna,25,34.9636
51,École Polytechnique de Montréal,30,34.946333333333335
52,University of California San Diego,14,34.93571428571429
53,Hochschule für Technik und Wirtschaft Mittweida,10,33.814
54,Technische Hochschule Mittelhessen,16,33.60125
55,Technical University of Munich,46,33.51152173913044
56,Indian Institute of Technology Madras,9,33.333333333333336
57,Xiamen University of Technology,3,33.333333333333336
58,University of California Berkeley,15,33.18666666666667
59,Shizuoka Institute of Science and Technology,14,33.15642857142857
60,University Of Hertfordshire,34,33.13647058823529
61,Monash University,32,33.074687499999996
62,Ben-Gurion University of the Negev,7,32.79714285714285
63,Czech Technical University in Prague,36,32.76083333333333
64,Tokyo University of Science,15,32.05
65,Georgia Southern University,13,32.0076923076923
66,Central Michigan University,5,31.96
67,Doshisha University,16,31.93125
68,Budapest University of Technology and Economics,17,31.898235294117647
69,Dr. D. Y. Patil Institute Of Engineering and Technology,2,31.895
70,École de Technologie Superieure,40,31.719749999999998
71,Tokai University,20,31.49
72,Harbin Institute of Technology at Weihai,7,30.81857142857143
73,University of Connecticut,20,30.597
74,Fachhochschule Joanneum Graz,59,30.28389830508474
75,Kasetsart University,5,30.134000000000004
76,Universitat Politécnica de Valéncia,22,30.018181818181823
77,Ulm University of Applied Sciences,26,29.62576923076923
78,Linköping University,9,29.353333333333335
79,University of West Bohemia,10,29.341999999999995
80,Università degli Studi di Parma,10,29.273000000000003
81,Staffordshire University,4,29.15
82,Carleton University,25,29.0596
83,University of South Florida,21,28.876190476190477
84,Aichi Institute of Technology,9,28.595555555555556
85,COEP Technological University ,2,28.31
86,Nagoya University,13,28.293846153846154
87,Institute of Technologists,13,28.286923076923074
88,Poznan University of Technology,11,28.124545454545455
89,Lund University,16,28.094375000000003
90,California State University Chico,7,28.02857142857143
91,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),24,27.99625
92,Hiroshima Institute of Technology,6,27.929999999999996
93,Ibaraki University,14,27.87142857142857
94,Universität Kassel,21,27.63952380952381
95,University of Michigan - Ann Arbor,43,27.63279069767442
