Rank,University,#,Points
1,University of Canterbury,4,135.3
2,École de Technologie Superieure,40,134.125
3,Edith Cowan University,12,133.21666666666667
4,Monash University,32,132.884375
5,Universität Stuttgart,67,131.32850746268656
6,Santa Clara University,1,131.0
7,Fachhochschule Joanneum Graz,59,130.87457627118644
8,University of Auckland,13,130.54615384615383
9,RMIT University,26,130.47692307692307
10,TU Delft,16,129.09375
11,Karlsruhe Institute of Technology,47,126.80765957446809
12,Technical University of Munich,46,125.2132608695652
13,Technische Universität Graz,66,124.7842424242424
14,Hochschule Esslingen,45,124.50666666666665
15,GFR DHBW Ravensburg & Oregon State University,36,123.16944444444445
16,Osaka University,17,121.19176470588236
17,University of Western Australia,21,120.23809523809524
18,Tallinn TU UAS,10,120.01199999999999
19,University of Wisconsin-Madison,36,119.86111111111111
20,Kyoto University,16,119.1875
21,University of Wollongong,22,118.28636363636365
22,Swinburne University of Technology,11,118.05454545454545
23,Yokohama National University,15,117.37933333333334
24,Brno University of Technology,29,116.37793103448276
25,Rochester Institute of Technology,51,115.65686274509804
26,University of Washington,31,115.16064516129032
27,University of Texas at Arlington,29,115.03448275862068
28,Pimpri Chinchwad College Of Engineering,1,115.0
29,Cornell University,27,114.4074074074074
30,Oxford Brookes University,41,114.10000000000001
31,University Of Hertfordshire,34,113.6185294117647
32,University of Bath,41,113.28536585365856
33,Universitat Politécnica de Valéncia,22,113.21363636363635
34,Nagoya University,13,112.68692307692308
35,University of New South Wales,20,112.375
36,Sophia University,28,111.73928571428571
37,Helsinki Metropolia University of Applied Sciences,24,111.69458333333334
38,Czech Technical University in Prague,36,111.25416666666666
39,Università degli Studi di Firenze,13,111.01384615384615
40,Kyushu Sangyo University,1,110.0
41,Friedrich-Alexander-Universität Erlangen-Nürnberg,39,109.98897435897435
42,Ibaraki University,14,109.96499999999999
43,University of Melbourne,18,109.64444444444445
44,Griffith University,5,109.46
45,Westsächsische Hochschule Zwickau,11,109.0909090909091
46,ETH Zürich,8,108.5
47,Fachhochschule München,34,107.5220588235294
48,Michigan State University,35,107.27885714285715
