Rank,University,Wins
1,Universität Stuttgart,11
2,ETH Zürich,10
3,Technical University of Munich,10
4,Karlsruhe Institute of Technology,7
5,TU Delft,7
6,Westsächsische Hochschule Zwickau,4
7,Hochschule Bonn-Rhein-Sieg,3
8,Carnegie Mellon University,2
9,Czech Technical University in Prague,2
10,Duale Hochschule Baden-Württemberg Stuttgart,2
11,GFR DHBW Ravensburg &amp; Oregon State University,2
12,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2
13,Tallinn TU UAS,2
14,Fachhochschule Joanneum Graz,1
15,Fachhochschule München,1
16,Massachusetts Institute of Technology,1
17,Monash University,1
18,National Technical University of Athens,1
19,Niigata Institute of Technology,1
20,Politecnico di Torino,1
21,Rheinisch-Westfälische Technische Hochschule Aachen,1
22,Shizuoka Institute of Science and Technology,1
23,Swinburne University of Technology,1
24,Technische Universität Dresden,1
25,Tohoku University,1
26,Toyota Technical College Nagoya,1
27,University of Pennsylvania,1
