Rank,University,Lowest Place,#
157,Vidyavardhini's College of Engineering and Technology,8th,1
158,Helsinki Metropolia University of Applied Sciences,9th,4
159,Fr Conceicao Rodrigues College of Engineering,9th,1
160,Hebei University of Technology,9th,1
161,Imperial College London,9th,1
162,National University of Singapore,9th,1
163,Ostbayerische Technische Hochschule Regensburg,9th,1
164,PSG Institute of Technology and Applied Research,9th,1
165,Queensland University of Technology,9th,1
166,Saarland University,9th,1
167,Universidad Pontificia Comillas,9th,1
168,University of Birmingham,9th,1
169,University of Moratuwa,9th,1
170,University of Tasmania,9th,1
171,University of Texas at Arlington,9th,1
172,Universität Duisburg-Essen,9th,1
173,Ramaiah Institute of Technology,10th,2
174,Centro Universitário da FEI,10th,1
175,Cornell University,10th,1
176,Ghent University,10th,1
177,HES-SO Valais-Wallis,10th,1
178,Hochschule für Angewandte Wissenschaften Hamburg,10th,1
179,Hochschule für Angewandte Wissenschaften Hof,10th,1
180,Hochschule Landshut,10th,1
181,Hochschule Ruhr West - UAS,10th,1
182,Leopold-Franzens-Universität Innsbruck,10th,1
183,Loughborough University,10th,1
184,Otto-von-Guericke-Universität Magdeburg,10th,1
185,South China University of Technology,10th,1
186,St. Vincent Pallotti College of Engineering and Technology,10th,1
187,University of Iceland,10th,1
188,University of Strathclyde,10th,1
189,Missouri University of Science and Technology,11th,2
190,Ben-Gurion University of the Negev,11th,1
191,Manchester Metropolitan University,11th,1
192,Rajiv Gandhi Institute of Technology - Kottayam,11th,1
193,Technische Universität Chemnitz,11th,1
194,The University of Michigan-Dearborn,11th,1
195,University of Maribor,11th,1
196,University of Stavanger,11th,1
197,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,12th,2
198,Ulm University of Applied Sciences,12th,2
199,Democritus University of Thrace,12th,1
200,Duale Hochschule Baden-Württemberg Mosbach,12th,1
201,Fachhochschule Konstanz,12th,1
202,Hochschule Darmstadt UAS,12th,1
203,Hochschule Darmstadt UAS,12th,1
204,Nagoya Institute of Technology,12th,1
