uni,date,event,total
TU Delft,2013,Austria,834
Universität Stuttgart,2016,Germany,834
ETH Zürich,2013,Germany,834
Rheinisch-Westfälische Technische Hochschule Aachen,2021,Austria,832
Technical University of Munich,2016,Austria,832
Budapest University of Technology and Economics,2016,East,832
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2016,Australia,832
Czech Technical University in Prague,2017,Czech Republic,829
Universität Stuttgart,2019,Spain,828
Norwegian University of Science and Technology,2019,Austria,828
ETH Zürich,2012,Austria,827
ETH Zürich,2014,United Kingdom,827
Karlsruhe Institute of Technology,2012,Spain,827
Technische Universität Hamburg,2018,Austria,826
Universität Stuttgart,2012,Spain,825
Universität Stuttgart,2019,East,825
ETH Zürich,2017,Germany,825
Universität Stuttgart,2015,Germany,825
Hochschule Bonn-Rhein-Sieg,2021,Spain,819
Westsächsische Hochschule Zwickau,2014,Spain,815
Technische Universität Bergakademie Freiberg,2018,Austria,814
Chalmers University of Technology,2018,Austria,811
Technische Universiteit Eindhoven,2021,Netherlands,810
Duale Hochschule Baden-Württemberg Stuttgart,2018,Spain,810
Universität Stuttgart,2017,Austria,810
Technical University of Munich,2014,Hungary,809
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2016,Czech Republic,806
Rheinisch-Westfälische Technische Hochschule Aachen,2021,East,802
Politecnico di Torino,2019,Italy,802
Westsächsische Hochschule Zwickau,2013,Italy,802
TU Delft,2014,Austria,800
Carnegie Mellon University,2018,Lincoln,800
RMIT University,2016,Australia,796
Technische Universität Bergakademie Freiberg,2012,Italy,795
Monash University,2018,Australia,795
Politecnico di Torino,2012,Hungary,792
Westsächsische Hochschule Zwickau,2015,United Kingdom,792
Karlsruhe Institute of Technology,2018,Germany,791
Fachhochschule München,2017,Germany,791
Technical University of Munich,2021,Germany,789
Czech Technical University in Prague,2019,Czech Republic,789
ETH Zürich,2021,Austria,787
Universität Stuttgart,2013,Austria,786
TU Delft,2017,Spain,785
Technische Universiteit Eindhoven,2010,Germany,785
Technische Universität Bergakademie Freiberg,2018,East,785
University of Ljubljana,2019,Italy,783
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2017,Germany,782
Swinburne University of Technology,2016,Australia,782
Hochschule Bonn-Rhein-Sieg,2022,Italy,778
Nagoya University,2018,Japan,777
GFR DHBW Ravensburg &amp; Oregon State University,2015,Germany,777
Technische Hochschule Ingolstadt,2012,Italy,777
Duale Hochschule Baden-Württemberg Stuttgart,2017,Spain,775
University of Queensland,2019,Australia,774
Technische Universität Wien,2015,Czech Republic,773
Fachhochschule Kiel,2016,Czech Republic,772
McGill University,2018,Lincoln,772
Tallinn TU UAS,2019,Austria,771
Duale Hochschule Baden-Württemberg Stuttgart,2021,East,770
Monash University,2018,United Kingdom,767
Universität Stuttgart,2012,Germany,767
Fachhochschule München,2013,Italy,766
Nagoya University,2017,Japan,766
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2018,Spain,766
Technische Universität Bergakademie Freiberg,2015,Spain,766
Leibniz Universität Hannover,2013,Spain,765
Technische Universität Dresden,2021,Germany,764
Norwegian University of Science and Technology,2018,Spain,763
Technische Universiteit Eindhoven,2010,Austria,762
Fachhochschule München,2017,Spain,762
Budapest University of Technology and Economics,2017,Czech Republic,761
Fachhochschule München,2016,Spain,761
Karlsruhe Institute of Technology,2019,Germany,760
GFR DHBW Ravensburg &amp; Oregon State University,2013,Austria,759
Karlsruhe Institute of Technology,2013,Germany,759
Technische Universität Dresden,2019,Spain,758
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2016,Germany,758
Politecnico di Torino,2017,Czech Republic,755
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2015,Hungary,753
Hochschule Bonn-Rhein-Sieg,2017,Italy,752
Tallinn TU UAS,2017,East,750
GFR DHBW Ravensburg &amp; Oregon State University,2015,Austria,747
Tallinn TU UAS,2021,Austria,746
Nagoya University,2019,Japan,746
GFR DHBW Ravensburg &amp; Oregon State University,2011,Germany,746
ETH Zürich,2010,Austria,745
Rheinisch-Westfälische Technische Hochschule Aachen,2021,Germany,744
Technische Universität Dresden,2013,United Kingdom,744
Technische Hochschule Ingolstadt,2016,Italy,743
Budapest University of Technology and Economics,2013,Hungary,742
Monash University,2018,Austria,742
Budapest University of Technology and Economics,2021,Austria,742
Duale Hochschule Baden-Württemberg Stuttgart,2015,Italy,742
University of Canterbury,2019,Australia,738
Ostfalia University of Applied Sciences,2012,Italy,738
Technische Universität Graz,2012,Hungary,738
Technical University of Munich,2021,Italy,735
Duale Hochschule Baden-Württemberg Stuttgart,2012,Italy,734
Westsächsische Hochschule Zwickau,2022,Spain,733
University of Adelaide,2019,Australia,733
Technische Universität Bergakademie Freiberg,2013,Spain,732
Technical University of Munich,2011,Germany,732
Westsächsische Hochschule Zwickau,2019,United Kingdom,731
Westsächsische Hochschule Zwickau,2013,Germany,731
Pimpri Chinchwad College Of Engineering,2022,India,728
ETH Zürich,2011,United Kingdom,728
Czech Technical University in Prague,2014,Italy,728
Czech Technical University in Prague,2021,Spain,727
Technische Hochschule Ingolstadt,2022,Alpe Adria,727
University of Auckland,2019,Australia,726
Technical University of Munich,2015,United Kingdom,725
Technische Universität Bergakademie Freiberg,2015,Italy,724
Hochschule Esslingen,2016,Italy,724
GFR DHBW Ravensburg &amp; Oregon State University,2018,Spain,723
Technische Universität Bergakademie Freiberg,2012,Hungary,723
Université Laval,2015,Hungary,723
University of Washington,2018,Lincoln,722
Helsinki Metropolia University of Applied Sciences,2019,Czech Republic,721
Technische Universität Bergakademie Freiberg,2014,Spain,721
ETH Zürich,2018,Spain,720
Technische Universiteit Eindhoven,2018,Spain,720
Hochschule Bonn-Rhein-Sieg,2014,Italy,720
University of Wollongong,2022,Australia,719
Technische Universität Bergakademie Freiberg,2019,East,716
University of Auckland,2018,Australia,714
Karlsruhe Institute of Technology,2021,Italy,713
University of Michigan - Ann Arbor,2019,Canada,712
Technische Universität Bergakademie Freiberg,2019,Germany,712
Universität Stuttgart,2015,Spain,712
University of Washington,2019,Lincoln,709
Duale Hochschule Baden-Württemberg Stuttgart,2017,Germany,708
Fachhochschule Kiel,2013,Spain,708
Hochschule Bonn-Rhein-Sieg,2019,Netherlands,706
Technische Universität Bergakademie Freiberg,2019,Austria,706
Swinburne University of Technology,2022,Australia,705
Tallinn TU UAS,2019,Spain,705
Ostbayerische Technische Hochschule Regensburg,2012,Hungary,704
Rheinisch-Westfälische Technische Hochschule Aachen,2019,Germany,700
Politecnico di Milano,2021,Italy,700
Tallinn TU UAS,2019,East,700
Politecnico di Torino,2018,Italy,700
ETH Zürich,2018,Austria,699
Duale Hochschule Baden-Württemberg Stuttgart,2014,Spain,699
Rheinisch-Westfälische Technische Hochschule Aachen,2018,East,699
National Tsing Hua University,2022,Alpe Adria,698
Universität Stuttgart,2018,Austria,698
RMIT University,2014,Australia,697
GFR DHBW Ravensburg &amp; Oregon State University,2016,Austria,695
K. J. Somaiya College of Engineering,2022,India,693
Fachhochschule München,2014,Spain,691
Norwegian University of Science and Technology,2016,Austria,691
Brno University of Technology,2022,East,689
Technische Universität Bergakademie Freiberg,2013,Italy,688
Universität Bayreuth,2019,Czech Republic,688
Universität Stuttgart,2012,Austria,685
GFR DHBW Ravensburg &amp; Oregon State University,2014,Austria,682
RMIT University,2015,Australia,681
Università degli Studi di Parma,2021,Italy,680
University of Pennsylvania,2019,Lincoln,680
National Technical University of Athens,2021,Germany,679
Tongji University,2018,Japan,678
Chalmers University of Technology,2016,United Kingdom,678
Technische Universiteit Eindhoven,2019,Netherlands,678
ETH Zürich,2011,Austria,678
Universidade de Lisboa - Instituto Superior Técnico,2016,Czech Republic,678
Technische Hochschule Ingolstadt,2013,Italy,678
Technische Universiteit Eindhoven,2018,Germany,678
Karlsruhe Institute of Technology,2011,Germany,675
Ostfalia University of Applied Sciences,2014,Italy,675
Technische Universität Bergakademie Freiberg,2018,Spain,673
Technische Universität Bergakademie Freiberg,2014,Austria,672
Technische Universität Dresden,2013,Germany,670
Université Laval,2019,Canada,670
Aristotle University of Thessaloniki,2019,Italy,669
Westsächsische Hochschule Zwickau,2019,Spain,669
Karlsruhe Institute of Technology,2017,Germany,666
Universidade Estadual de Campinas,2017,Lincoln,666
Tallinn TU UAS,2021,East,666
Technical University of Munich,2018,United Kingdom,666
Ostbayerische Technische Hochschule Regensburg,2013,Spain,665
Technische Universität Bergakademie Freiberg,2015,Germany,665
Westsächsische Hochschule Zwickau,2018,Spain,663
Westsächsische Hochschule Zwickau,2012,United Kingdom,662
Rheinisch-Westfälische Technische Hochschule Aachen,2019,East,662
Georgia Institute of Technology,2022,Michigan,661
Fachhochschule München,2014,Germany,659
Norwegian University of Science and Technology,2015,Austria,659
Hochschule Esslingen,2014,Hungary,659
Technische Universität Darmstadt,2015,United Kingdom,656
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2013,United Kingdom,656
Hochschule Bonn-Rhein-Sieg,2019,East,654
Karlsruhe Institute of Technology,2021,East,652
University of California Davis,2019,Lincoln,651
Budapest University of Technology and Economics,2017,East,650
GFR DHBW Ravensburg &amp; Oregon State University,2022,Michigan,650
Technische Universität Dresden,2017,Spain,649
Duale Hochschule Baden-Württemberg Stuttgart,2021,Germany,647
Technical University of Munich,2015,Austria,647
GFR DHBW Ravensburg &amp; Oregon State University,2017,Spain,647
Duale Hochschule Baden-Württemberg Stuttgart,2022,Germany,647
TU Delft,2022,Netherlands,647
Fachhochschule München,2018,Austria,647
Carnegie Mellon University,2022,Michigan,646
Norwegian University of Science and Technology,2014,United Kingdom,645
Ostfalia University of Applied Sciences,2021,Germany,644
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2013,Germany,641
Hochschule Bonn-Rhein-Sieg,2016,Austria,641
RMIT University,2019,Australia,641
Rheinisch-Westfälische Technische Hochschule Aachen,2015,Austria,640
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2017,Spain,640
Hochschule Esslingen,2016,Czech Republic,638
Technische Universiteit Eindhoven,2012,Germany,637
Monash University,2018,Germany,634
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2017,Germany,633
Universität Bayreuth,2015,Austria,633
University of Wollongong,2019,Australia,633
Ostfalia University of Applied Sciences,2013,Hungary,632
Budapest University of Technology and Economics,2016,United Kingdom,632
Tallinn TU UAS,2014,Austria,631
Fachhochschule München,2018,Spain,631
Technische Universität Dresden,2016,Spain,630
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2016,Spain,629
Hochschule Esslingen,2016,East,629
Universität Siegen,2012,Spain,628
Technische Universität Darmstadt,2015,Spain,625
University of Nottingham,2021,United Kingdom,623
KU Leuven - Group T Campus,2015,Czech Republic,623
GFR DHBW Ravensburg &amp; Oregon State University,2021,Spain,618
Georg-Simon-Ohm-Hochschule Nürnberg,2014,Italy,617
National Technical University of Athens,2021,East,616
Helsinki Metropolia University of Applied Sciences,2017,Czech Republic,615
Fachhochschule Osnabrück,2016,Spain,612
ETH Zürich,2016,Germany,610
Technische Hochschule Ingolstadt,2014,Italy,610
Technische Universität Darmstadt,2016,Spain,608
University of Canterbury,2018,Australia,607
University of Technology Sydney,2019,Australia,606
Technical University of Munich,2013,Austria,604
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2016,Italy,604
Technische Hochschule Ingolstadt,2014,Austria,603
The University of Akron,2019,Lincoln,601
Leibniz Universität Hannover,2013,Germany,600
Universidade de Lisboa - Instituto Superior Técnico,2021,Spain,599
Fachhochschule Osnabrück,2015,Spain,599
Technische Universität Bergakademie Freiberg,2012,Germany,599
Technische Universiteit Eindhoven,2011,Germany,598
Karlsruhe Institute of Technology,2019,Spain,598
Technical University of Munich,2012,Germany,597
Technical University of Munich,2015,Hungary,595
Technische Universität Wien,2015,Austria,595
Budapest University of Technology and Economics,2022,East,594
Budapest University of Technology and Economics,2022,Germany,593
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2016,United Kingdom,593
Technische Universität Dresden,2013,Italy,593
Universität Siegen,2013,Spain,592
Technische Universität Darmstadt,2014,Italy,592
Technical University of Munich,2022,Germany,592
Deggendorf Institute of Technology,2018,Germany,592
Universität Stuttgart,2011,Germany,592
Hochschule Esslingen,2014,Spain,591
Tallinn TU UAS,2019,Italy,591
Ostfalia University of Applied Sciences,2015,Italy,590
Fachhochschule München,2013,Germany,589
Westsächsische Hochschule Zwickau,2016,Spain,589
GFR DHBW Ravensburg &amp; Oregon State University,2021,Italy,588
Hochschule Bonn-Rhein-Sieg,2016,Germany,588
Missouri University of Science and Technology,2017,Lincoln,586
Hochschule Esslingen,2015,Hungary,585
Technische Universität Hamburg,2022,Austria,585
Georg-Simon-Ohm-Hochschule Nürnberg,2022,Alpe Adria,585
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2017,Italy,585
Massachusetts Institute of Technology,2019,Lincoln,584
Hochschule Bonn-Rhein-Sieg,2021,Germany,583
Universität Bayreuth,2015,Germany,583
Fachhochschule Osnabrück,2015,Germany,583
Toyohashi University of Technology,2018,Japan,582
Chalmers University of Technology,2018,Spain,582
Georg-Simon-Ohm-Hochschule Nürnberg,2018,Germany,581
Politecnico di Torino,2015,Italy,581
Duale Hochschule Baden-Württemberg - Mannheim,2021,Germany,580
TU Delft,2015,Austria,580
Technische Universiteit Eindhoven,2019,Germany,579
Fachhochschule München,2016,Austria,578
University of Washington,2017,Lincoln,577
Deggendorf Institute of Technology,2013,Spain,576
National Tsing Hua University,2019,Japan,575
Duale Hochschule Baden-Württemberg Stuttgart,2018,Italy,573
University of Texas at Austin,2019,Lincoln,573
Hochschule für angewandte Wissenschaften Augsburg,2021,Italy,573
The University of Newcastle,2022,Australia,571
Universität Bayreuth,2013,Austria,571
Aristotle University of Thessaloniki,2021,East,570
Technische Universität Hamburg,2016,United Kingdom,570
Aristotle University of Thessaloniki,2018,East,569
Technische Universiteit Eindhoven,2014,Germany,568
Technische Universität Hamburg,2019,Austria,568
Universität Stuttgart,2016,Spain,568
Monash University,2022,Australia,565
Liaoning University of Technology,2017,Japan,563
KU Leuven - Group T Campus,2022,Alpe Adria,560
Tallinn TU UAS,2014,Hungary,560
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2016,Czech Republic,560
University of Technology Sydney,2016,Australia,559
Duale Hochschule Baden-Württemberg Stuttgart,2021,Netherlands,559
Carnegie Mellon University,2019,Lincoln,558
Fachhochschule München,2015,Austria,558
Chalmers University of Technology,2017,Germany,556
Fachhochschule Kiel,2022,Spain,556
Duale Hochschule Baden-Württemberg Stuttgart,2015,Germany,556
Czech Technical University in Prague,2012,Italy,555
Universität Stuttgart,2018,East,554
Fachhochschule Kiel,2013,United Kingdom,553
Fachhochschule Osnabrück,2017,Germany,553
Technische Universiteit Eindhoven,2011,United Kingdom,552
Technische Universität Hamburg,2016,Austria,551
Ostfalia University of Applied Sciences,2019,Germany,550
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2015,United Kingdom,549
Westsächsische Hochschule Zwickau,2011,United Kingdom,549
University of Wisconsin-Madison,2018,Lincoln,548
Technical University of Munich,2012,Austria,548
TU Delft,2018,Germany,547
Universität Stuttgart,2014,Spain,545
Deggendorf Institute of Technology,2013,Germany,544
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2019,Spain,541
UAS Würzburg-Schweinfurt,2021,Germany,541
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2016,Spain,541
Hochschule RheinMain,2015,Czech Republic,540
University of Southern Denmark,2013,Germany,540
University of the Basque Country,2019,United Kingdom,540
Deggendorf Institute of Technology,2018,Austria,539
Technical University of Munich,2018,Spain,539
ETH Zürich,2017,East,538
Fachhochschule Osnabrück,2014,Spain,537
Fachhochschule Kiel,2014,Spain,535
Fachhochschule München,2015,Spain,535
TU Delft,2019,East,535
University of Patras,2017,United Kingdom,534
Technical University of Munich,2018,Germany,534
TU Delft,2013,United Kingdom,534
Hochschule RheinMain,2013,Italy,534
Technische Universiteit Eindhoven,2015,Spain,532
Rheinisch-Westfälische Technische Hochschule Aachen,2016,United Kingdom,532
Rheinisch-Westfälische Technische Hochschule Aachen,2015,Germany,530
ETH Zürich,2015,United Kingdom,529
Massachusetts Institute of Technology,2018,Lincoln,529
Tallinn TU UAS,2016,Spain,528
TU Delft,2016,United Kingdom,528
Czech Technical University in Prague,2017,East,528
Technische Universität Wien,2021,Germany,528
Hochschule Esslingen,2013,Italy,526
Ostfalia University of Applied Sciences,2013,Italy,524
Fachhochschule Osnabrück,2017,Spain,523
Budapest University of Technology and Economics,2019,Spain,522
ETH Zürich,2012,United Kingdom,522
Universität Stuttgart,2014,Austria,522
University of Surrey,2019,United Kingdom,521
Karlsruhe Institute of Technology,2016,United Kingdom,521
RMIT University,2013,Australia,520
Technical University of Munich,2016,United Kingdom,519
Fachhochschule Osnabrück,2014,Germany,516
Universität Siegen,2014,Spain,516
ETH Zürich,2016,United Kingdom,515
Universität Siegen,2015,Austria,515
Technische Universität Graz,2010,Germany,511
Technische Universität Hamburg,2021,Germany,510
Fachhochschule München,2012,Spain,510
Politecnico di Torino,2018,Spain,510
Technische Universiteit Eindhoven,2013,Spain,508
Technische Universität Darmstadt,2013,Hungary,508
Universität Stuttgart,2013,United Kingdom,507
Technische Universität Dresden,2022,Spain,506
Brno University of Technology,2021,Czech Republic,506
Duale Hochschule Baden-Württemberg Stuttgart,2014,Germany,505
Universität Stuttgart,2019,Germany,504
Tongji University,2019,Japan,504
University of the Basque Country,2019,Spain,502
Technische Universiteit Eindhoven,2014,United Kingdom,500
Technische Universität Kaiserslautern,2018,Spain,500
Universität Duisburg-Essen,2016,Czech Republic,500
Hochschule für angewandte Wissenschaften Augsburg,2015,Germany,499
Helsinki Metropolia University of Applied Sciences,2019,Italy,499
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2018,Germany,499
Rheinisch-Westfälische Technische Hochschule Aachen,2015,United Kingdom,498
Fachhochschule Osnabrück,2012,Germany,498
Westsächsische Hochschule Zwickau,2010,Germany,498
Tallinn TU UAS,2015,Czech Republic,497
University of Canterbury,2016,Australia,496
Helsinki Metropolia University of Applied Sciences,2015,Hungary,496
Technische Universität Graz,2012,Austria,496
Technische Universität Clausthal,2019,Czech Republic,495
Czech Technical University in Prague,2013,Italy,495
Technische Universität Darmstadt,2014,Austria,495
Universität Siegen,2021,East,495
Deggendorf Institute of Technology,2014,Spain,493
Technical University of Munich,2013,Germany,492
UAS Würzburg-Schweinfurt,2021,Spain,491
University of Michigan - Ann Arbor,2019,Lincoln,491
Fachhochschule München,2015,Germany,490
Technische Hochschule Ingolstadt,2012,Germany,490
National Tsing Hua University,2018,Japan,490
Technische Universität Dresden,2021,Austria,489
University of Patras,2014,United Kingdom,489
Technische Universität Kaiserslautern,2019,Spain,489
Technische Universität Graz,2022,Alpe Adria,489
Norwegian University of Science and Technology,2016,United Kingdom,489
Université Laval,2015,Austria,489
Politecnico di Milano,2021,East,488
Warsaw University of Technology,2021,Czech Republic,488
Politecnico di Torino,2019,Czech Republic,488
Fachhochschule München,2014,Austria,488
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2016,United Kingdom,487
ETH Zürich,2010,Germany,486
Technische Universität Dresden,2018,Germany,486
University of Ljubljana,2019,Germany,486
Karlsruhe Institute of Technology,2013,Austria,485
Duale Hochschule Baden-Württemberg Stuttgart,2019,Netherlands,484
Iwate University,2018,Japan,484
Technische Universität Wien,2019,Czech Republic,483
Westsächsische Hochschule Zwickau,2011,Germany,483
Technische Universität Hamburg,2021,East,483
Technische Universität Darmstadt,2013,Italy,483
Technical University of Munich,2016,Germany,482
Deggendorf Institute of Technology,2010,Austria,482
Universidade de Lisboa - Instituto Superior Técnico,2015,Hungary,481
Norwegian University of Science and Technology,2022,Germany,480
Westsächsische Hochschule Zwickau,2016,United Kingdom,480
Technische Hochschule Köln,2014,Italy,479
Swinburne University of Technology,2014,Australia,479
Technische Universität Hamburg,2017,Germany,479
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2012,Italy,477
Rheinisch-Westfälische Technische Hochschule Aachen,2016,Austria,477
Technische Universität Dresden,2017,Austria,477
Georgia Institute of Technology,2018,Lincoln,477
Universität Stuttgart,2018,Germany,476
Rheinisch-Westfälische Technische Hochschule Aachen,2022,Germany,476
Universidade de Lisboa - Instituto Superior Técnico,2019,Germany,475
Tallinn TU UAS,2013,Hungary,475
Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2021,Germany,473
Karlsruhe Institute of Technology,2021,Germany,473
Czech Technical University in Prague,2012,Hungary,472
Karlsruhe Institute of Technology,2015,Germany,472
University of Patras,2016,Czech Republic,472
Tallinn TU UAS,2018,Austria,472
ETH Zürich,2022,Germany,469
Fachhochschule München,2021,Italy,469
Technische Universität Hamburg,2014,Hungary,467
Hochschule für angewandte Wissenschaften Augsburg,2013,Italy,467
Brno University of Technology,2022,Alpe Adria,464
Westsächsische Hochschule Zwickau,2015,Spain,464
University of Seville,2022,Italy,461
Duale Hochschule Baden-Württemberg Stuttgart,2018,Germany,461
Hochschule für angewandte Wissenschaften Augsburg,2022,Germany,461
Hochschule Bonn-Rhein-Sieg,2022,Germany,460
Technische Hochschule Ingolstadt,2015,Italy,460
Karlsruhe Institute of Technology,2012,Germany,459
Technical University of Munich,2017,Spain,459
Technische Universität Hamburg,2022,Germany,457
Technische Universiteit Eindhoven,2016,Spain,457
Technische Universität Graz,2011,Germany,456
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2013,Spain,456
Hochschule Bonn-Rhein-Sieg,2017,Austria,455
Helsinki Metropolia University of Applied Sciences,2015,Austria,455
Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2016,Germany,454
Purdue University - West Lafayette,2018,Lincoln,454
Universität Stuttgart,2015,United Kingdom,453
University of Illinois at Urbana-Champaign,2019,Lincoln,453
TU Delft,2019,Austria,453
Technische Universität Graz,2010,Austria,452
Duale Hochschule Baden-Württemberg Stuttgart,2022,Austria,451
Hochschule für angewandte Wissenschaften Augsburg,2015,Austria,451
Duale Hochschule Baden-Württemberg Stuttgart,2013,Italy,450
GFR DHBW Ravensburg &amp; Oregon State University,2012,Germany,448
Tallinn TU UAS,2022,Austria,448
Technische Universität Dresden,2019,Netherlands,447
Purdue University - West Lafayette,2019,Lincoln,447
Technische Universität Dresden,2017,Italy,447
University of California Davis,2017,Lincoln,446
Technische Universität Darmstadt,2016,United Kingdom,445
TU Delft,2022,Austria,443
Universität Bayreuth,2013,Germany,442
Chalmers University of Technology,2016,Germany,442
University of Bath,2018,United Kingdom,442
Hochschule für angewandte Wissenschaften Augsburg,2021,Germany,441
Hochschule Esslingen,2016,United Kingdom,441
Technische Universität Braunschweig,2013,Austria,440
