uni,date,event,total
ETH Zürich,2017,Spain,982
Carnegie Mellon University,2019,Canada,981
Universität Stuttgart,2022,East,980
Universität Stuttgart,2017,East,969
ETH Zürich,2014,Austria,962
Duale Hochschule Baden-Württemberg Stuttgart,2017,Italy,962
TU Delft,2018,East,961
Universität Stuttgart,2022,Spain,960
ETH Zürich,2014,Spain,959
Tallinn TU UAS,2018,Italy,958
ETH Zürich,2021,East,956
Universität Stuttgart,2022,Austria,951
Technical University of Munich,2019,Austria,949
ETH Zürich,2017,Austria,949
Technical University of Munich,2019,East,947
ETH Zürich,2016,Austria,946
TU Delft,2019,Netherlands,943
Karlsruhe Institute of Technology,2015,Hungary,942
Westsächsische Hochschule Zwickau,2019,Czech Republic,940
Universität Stuttgart,2021,Germany,938
Karlsruhe Institute of Technology,2017,East,937
ETH Zürich,2013,Austria,937
ETH Zürich,2014,Germany,934
TU Delft,2012,Germany,934
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2017,Czech Republic,933
ETH Zürich,2015,Austria,933
Westsächsische Hochschule Zwickau,2015,Italy,930
ETH Zürich,2015,Spain,929
Technical University of Munich,2019,Germany,926
ETH Zürich,2012,Spain,926
Tallinn TU UAS,2014,Italy,924
University of Pennsylvania,2017,Lincoln,923
TU Delft,2015,Germany,923
National Technical University of Athens,2021,Czech Republic,922
ETH Zürich,2013,United Kingdom,921
Technical University of Munich,2019,Spain,919
TU Delft,2016,Spain,919
Universität Stuttgart,2017,Germany,918
Karlsruhe Institute of Technology,2016,Germany,918
Duale Hochschule Baden-Württemberg Stuttgart,2022,Netherlands,916
Monash University,2019,Australia,912
ETH Zürich,2016,Spain,911
TU Delft,2011,United Kingdom,910
Technical University of Munich,2018,Australia,910
TU Delft,2011,Germany,909
TU Delft,2015,United Kingdom,909
Fachhochschule München,2013,Spain,906
GFR DHBW Ravensburg &amp; Oregon State University,2017,Italy,905
GFR DHBW Ravensburg &amp; Oregon State University,2018,Italy,901
Westsächsische Hochschule Zwickau,2012,Italy,901
TU Delft,2016,Germany,900
Karlsruhe Institute of Technology,2015,Spain,897
Fachhochschule Joanneum Graz,2022,Alpe Adria,896
Tallinn TU UAS,2018,East,895
Technische Universität Darmstadt,2012,Italy,894
Technische Universität Dresden,2016,Italy,892
Karlsruhe Institute of Technology,2017,Austria,892
Universität Stuttgart,2014,Germany,889
Westsächsische Hochschule Zwickau,2022,Czech Republic,887
ETH Zürich,2018,Germany,884
Karlsruhe Institute of Technology,2014,Hungary,884
Technical University of Munich,2016,Spain,883
Universität Stuttgart,2018,Spain,880
Universität Stuttgart,2010,Germany,880
Universität Stuttgart,2013,Italy,880
Technische Universität Dresden,2021,Netherlands,879
Universität Stuttgart,2017,Spain,877
Czech Technical University in Prague,2022,Alpe Adria,875
ETH Zürich,2012,Germany,874
Tallinn TU UAS,2017,Czech Republic,872
Karlsruhe Institute of Technology,2014,Spain,870
Universität Stuttgart,2015,Austria,868
Politecnico di Torino,2012,Italy,868
Duale Hochschule Baden-Württemberg Stuttgart,2019,Spain,868
ETH Zürich,2015,Germany,868
Karlsruhe Institute of Technology,2016,Austria,866
Karlsruhe Institute of Technology,2016,Spain,865
Universität Stuttgart,2022,Germany,863
Czech Technical University in Prague,2022,Czech Republic,859
Hochschule Bonn-Rhein-Sieg,2016,Italy,859
Norwegian University of Science and Technology,2018,Germany,859
Universität Bayreuth,2015,Czech Republic,859
Massachusetts Institute of Technology,2017,Lincoln,858
TU Delft,2014,United Kingdom,856
Universität Stuttgart,2021,East,856
TU Delft,2014,Germany,855
ETH Zürich,2013,Italy,855
ETH Zürich,2011,Germany,853
Westsächsische Hochschule Zwickau,2013,United Kingdom,852
Universität Stuttgart,2016,Austria,852
Tallinn TU UAS,2022,East,850
Duale Hochschule Baden-Württemberg Stuttgart,2016,Italy,849
TU Delft,2012,United Kingdom,848
Karlsruhe Institute of Technology,2013,Hungary,848
McGill University,2019,Lincoln,848
University of Auckland,2022,Australia,847
École Polytechnique de Montréal,2022,Michigan,847
Tallinn TU UAS,2021,Italy,847
TU Delft,2013,Germany,844
Budapest University of Technology and Economics,2021,East,841
Technische Universität Wien,2022,Alpe Adria,841
Tallinn TU UAS,2022,Italy,840
Czech Technical University in Prague,2015,Czech Republic,839
TU Delft,2017,East,838
Karlsruhe Institute of Technology,2012,Hungary,838
University of Michigan - Ann Arbor,2022,Michigan,837
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2018,Germany,837
Politecnico di Torino,2017,Italy,837
Karlsruhe Institute of Technology,2017,Spain,836
Hochschule Bonn-Rhein-Sieg,2022,Czech Republic,836
