Rank,University,#,Position
164,Università degli Studi di Roma La Sapienza,13,21.08
165,Technische Universität Clausthal,9,21.22
166,Universität Duisburg-Essen,13,21.31
167,Technische Universität Berlin,10,21.4
168,Indian Institute of Technology Delhi,5,21.8
169,Technische Universität Kaiserslautern,19,21.89
170,University of the Basque Country,18,21.94
171,K. J. Somaiya College of Engineering,4,22.0
172,Università degli studi di Trieste,1,22.0
173,Escola d'Enginyeria de Barcelona Est. EEBE,11,22.09
174,Technische Hochschule Köln,19,22.21
175,Queensland University of Technology,4,22.25
176,University of Ontario Institute of Technology,2,22.5
177,Fachhochschule für Wirtschaft und Technik,17,22.59
178,Leibniz Universität Hannover,26,22.62
179,Helsinki Metropolia University of Applied Sciences,15,22.67
180,École Polytechnique Fédérale de Lausanne,8,22.75
181,Bern University of Applied Sciences,8,22.88
182,Kennesaw State University,2,23.0
183,Saarland University,6,23.0
184,University of Alcalá,1,23.0
185,University of Zagreb,4,23.0
186,Hochschule Mannheim,7,23.43
187,Hochschule Landshut,6,23.67
188,Ghent University,2,24.0
189,Islamic Azad University of Karaj,1,24.0
190,Linköping University,1,24.0
191,University of Agder,1,24.0
192,Ostbayerische Technische Hochschule Regensburg,10,24.3
193,Ben-Gurion University of the Negev,6,24.33
194,AGH University of Science and Technology,4,24.5
195,Indian Institute of Technology Roorkee,1,25.0
196,Queen's University Belfast,1,25.0
197,Technical University of Cluj-Napoca,1,25.0
198,Technische Hochschule Ostwestfalen-Lippe,2,25.0
199,University of California - Santa Cruz,1,25.0
200,University of California Berkeley,1,25.0
201,Fachhochschule Konstanz,6,25.17
202,University of Belgrade (Универзитет у Београду),2,25.5
203,Concordia University,1,26.0
204,Wroclaw University of Technology,2,26.0
205,Moscow State Automobile &amp; Road Technical University - MADI,8,26.12
206,Universität Kassel,6,26.67
207,Universität Bremen,8,26.75
208,Beijing Institute of Technology,1,27.0
209,Hefei University of Technology,1,27.0
210,San Diego State University,3,27.0
211,Universidad de Oviedo,3,27.0
212,Universidad Pontificia Comillas,5,27.2
213,Liaoning University of Technology,2,27.5
214,North Carolina State University,1,28.0
215,Technische Universität Chemnitz,6,28.0
216,Technische Universität Braunschweig,16,28.44
217,Hochschule Pforzheim,2,28.5
218,Technische Universität Ilmenau,9,28.78
219,Hochschule für Angewandte Wissenschaften Hamburg,2,29.0
220,Karlstad University,1,29.0
221,Portland State University,1,29.0
222,Rhein-Waal University of Applied Sciences,1,29.0
223,Friedrich-Alexander-Universität Erlangen-Nürnberg,3,30.0
224,KTH Royal Institute of Technology,8,30.0
