Rank,University,Wins
1,ETH Zürich,12
2,Universität Stuttgart,10
3,TU Delft,6
4,Tallinn TU UAS,4
5,Technical University of Munich,4
6,Westsächsische Hochschule Zwickau,3
7,Czech Technical University in Prague,2
8,Duale Hochschule Baden-Württemberg Stuttgart,2
9,Karlsruhe Institute of Technology,2
10,Monash University,2
11,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),2
12,Technische Universität Bergakademie Freiberg,2
13,Technische Universität Dresden,2
14,University of Washington,2
15,Carnegie Mellon University,1
16,Fachhochschule München,1
17,Hochschule Bonn-Rhein-Sieg,1
18,Hochschule Esslingen,1
19,National Technical University of Athens,1
20,Pimpri Chinchwad College Of Engineering,1
21,Politecnico di Torino,1
22,Rheinisch-Westfälische Technische Hochschule Aachen,1
23,University of Pennsylvania,1
24,University of Wollongong,1
25,Universität Bayreuth,1
26,École Polytechnique de Montréal,1
