Rank,University,Wins
1,ETH Zürich,25
2,TU Delft,8
3,Universität Stuttgart,5
4,Technical University of Munich,4
5,Westsächsische Hochschule Zwickau,4
6,Tallinn TU UAS,3
7,Technische Universität Wien,3
8,Hochschule Bonn-Rhein-Sieg,2
9,Monash University,2
10,Norwegian University of Science and Technology,2
11,University of Wisconsin-Madison,2
12,Brno University of Technology,1
13,Budapest University of Technology and Economics,1
14,Carnegie Mellon University,1
15,Duale Hochschule Baden-Württemberg Stuttgart,1
16,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),1
17,Fachhochschule Joanneum Graz,1
18,Karlsruhe Institute of Technology,1
19,McGill University,1
20,National Technical University of Athens,1
21,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1
22,Oxford Brookes University,1
23,Pimpri Chinchwad College Of Engineering,1
24,Technische Universiteit Eindhoven,1
25,Technische Universität Darmstadt,1
26,Universidade de Lisboa - Instituto Superior Técnico,1
27,École de Technologie Superieure,1
