Rank,University,Wins
1,Technical University of Munich,7
2,ETH Zürich,5
3,TU Delft,5
4,Westsächsische Hochschule Zwickau,4
5,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,3
6,Ostfalia University of Applied Sciences,3
7,Technische Universität Dresden,3
8,Budapest University of Technology and Economics,2
9,Deggendorf Institute of Technology,2
10,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2
11,Helsinki Metropolia University of Applied Sciences,2
12,Hochschule RheinMain,2
13,RMIT University,2
14,Technische Universiteit Eindhoven,2
15,Technische Universität Bergakademie Freiberg,2
16,Technische Universität Hamburg,2
17,Technische Universität Kaiserslautern,2
18,University of Queensland,2
19,Universität Stuttgart,2
20,Alma Mater Studiorum - Università di Bologna,1
21,Brno University of Technology,1
22,Czech Technical University in Prague,1
23,Fachhochschule Joanneum Graz,1
24,Fachhochschule Kiel,1
25,Fachhochschule Osnabrück,1
26,Hochschule Bonn-Rhein-Sieg,1
27,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,1
28,Hochschule für angewandte Wissenschaften Augsburg,1
29,Iwate University,1
30,KTH Royal Institute of Technology,1
31,Leibniz Universität Hannover,1
32,Missouri University of Science and Technology,1
33,Moscow State Automobile &amp; Road Technical University - MADI,1
34,Niigata Institute of Technology,1
35,Pimpri Chinchwad College Of Engineering,1
36,Politecnico di Torino,1
37,Purdue University - West Lafayette,1
38,Rheinisch-Westfälische Technische Hochschule Aachen,1
39,Tallinn TU UAS,1
40,Technische Universität Braunschweig,1
41,Technische Universität Graz,1
42,Tongji University,1
43,Toyohashi University of Technology,1
44,University of Bath,1
45,University of Patras,1
46,University of Seville,1
47,University of Stavanger,1
48,University of Surrey,1
49,University of Technology Sydney,1
50,University of Texas at Austin,1
51,University of the Basque Country,1
52,Universität Bayreuth,1
53,Université Laval,1
54,École Polytechnique de Montréal,1
