Rank,University,Wins
1,ETH Zürich,6
2,TU Delft,5
3,Technische Universität Bergakademie Freiberg,4
4,Universität Stuttgart,4
5,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,3
6,Hochschule für angewandte Wissenschaften Augsburg,3
7,Karlsruhe Institute of Technology,3
8,RMIT University,3
9,Carnegie Mellon University,2
10,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2
11,Fachhochschule München,2
12,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,2
13,UAS Würzburg-Schweinfurt,2
14,University of Patras,2
15,University of Queensland,2
16,Griffith University,1
17,Hochschule Aalen - Technik und Wirtschaft,1
18,Hochschule Bonn-Rhein-Sieg,1
19,Indian Institute of Technology Delhi,1
20,McGill University,1
21,Pimpri Chinchwad College Of Engineering,1
22,Politecnico di Torino,1
23,Rheinisch-Westfälische Technische Hochschule Aachen,1
24,Saarland University,1
25,Slovak University of Technology in Bratislava,1
26,Tallinn TU UAS,1
27,Technical University of Munich,1
28,Technische Universiteit Eindhoven,1
29,Technische Universität Berlin,1
30,Technische Universität Graz,1
31,Technische Universität Hamburg,1
32,Technische Universität Kaiserslautern,1
33,Technische Universität Wien,1
34,Universidade de Lisboa - Instituto Superior Técnico,1
35,University of Adelaide,1
36,University of Applied Sciences Ravensburg-Weingarten,1
37,University of Bath,1
38,University of California Davis,1
39,University of Pennsylvania,1
40,University of Strathclyde,1
41,University of the Basque Country,1
42,Westsächsische Hochschule Zwickau,1
