Rank,University,Lowest Place,Number of Lowest Place
1,ETH Zürich,1.0,25
2,Universität Stuttgart,1.0,14
3,Technical University of Munich,1.0,11
4,TU Delft,2.0,8
5,Karlsruhe Institute of Technology,1.0,7
6,Duale Hochschule Baden-Württemberg Stuttgart,2.0,5
7,Technische Universität Dresden,1.0,5
8,Westsächsische Hochschule Zwickau,1.0,5
9,Fachhochschule München,11.0,4
10,Tallinn TU UAS,3.0,4
11,Technische Universität Bergakademie Freiberg,1.0,4
12,University of Seville,1.0,4
13,Hochschule Bonn-Rhein-Sieg,6.0,3
14,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2.0,3
15,Aristotle University of Thessaloniki,1.0,3
16,Czech Technical University in Prague,1.0,3
17,Hochschule für angewandte Wissenschaften Augsburg,1.0,3
18,Ostfalia University of Applied Sciences,1.0,3
19,RMIT University,1.0,3
20,Technische Universität Wien,1.0,3
21,University of the Basque Country,1.0,3
22,UAS Würzburg-Schweinfurt,17.0,2
23,Deggendorf Institute of Technology,12.0,2
24,University of Manitoba,9.0,2
25,GFR DHBW Ravensburg &amp; Oregon State University,7.0,2
26,Norwegian University of Science and Technology,5.0,2
27,Technische Universität Darmstadt,5.0,2
28,Budapest University of Technology and Economics,4.0,2
29,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,4.0,2
30,Technische Universiteit Eindhoven,4.0,2
31,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),3.0,2
32,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),3.0,2
33,Helsinki Metropolia University of Applied Sciences,2.0,2
34,Politecnico di Torino,2.0,2
35,Rheinisch-Westfälische Technische Hochschule Aachen,2.0,2
36,Technische Universität Hamburg,2.0,2
37,Carnegie Mellon University,1.0,2
38,Fachhochschule Joanneum Graz,1.0,2
39,Hochschule RheinMain,1.0,2
40,Monash University,1.0,2
41,Politecnico di Milano,1.0,2
42,Technische Universität Kaiserslautern,1.0,2
43,University of Patras,1.0,2
44,University of Pennsylvania,1.0,2
45,University of Queensland,1.0,2
46,University of Washington,1.0,2
47,University of Wisconsin-Madison,1.0,2
48,Toyota Technical College Nagoya,67.0,1
49,Shizuoka Institute of Science and Technology,54.0,1
50,Tohoku University,38.0,1
51,Indian Institute of Technology Bombay,36.0,1
52,Saarland University,36.0,1
53,École Polytechnique Fédérale de Lausanne,17.0,1
54,Technische Universität Graz,16.0,1
55,Hochschule Aalen - Technik und Wirtschaft,15.0,1
56,Nagoya University,15.0,1
57,Universidade de Lisboa - Instituto Superior Técnico,15.0,1
58,Slovak University of Technology in Bratislava,12.0,1
59,University of Canterbury,12.0,1
60,University of Nottingham,10.0,1
61,University of Bath,9.0,1
62,Hochschule Esslingen,7.0,1
63,Technische Universität Chemnitz,7.0,1
64,Technische Universität Berlin,6.0,1
65,University of Adelaide,6.0,1
66,University of Auckland,6.0,1
67,Iwate University,5.0,1
68,Fachhochschule Osnabrück,4.0,1
69,Leibniz Universität Hannover,4.0,1
70,University of California Davis,4.0,1
71,University of Technology Sydney,4.0,1
72,Universität Bayreuth,4.0,1
73,Brno University of Technology,3.0,1
74,Fachhochschule Kiel,3.0,1
75,Tongji University,3.0,1
76,Massachusetts Institute of Technology,2.0,1
77,Université Laval,2.0,1
78,Alma Mater Studiorum - Università di Bologna,1.0,1
79,Griffith University,1.0,1
80,Indian Institute of Technology Delhi,1.0,1
81,K. J. Somaiya College of Engineering,1.0,1
82,KTH Royal Institute of Technology,1.0,1
83,McGill University,1.0,1
84,Missouri University of Science and Technology,1.0,1
85,Moscow State Automobile &amp; Road Technical University - MADI,1.0,1
86,National Technical University of Athens,1.0,1
87,Niigata Institute of Technology,1.0,1
88,Oxford Brookes University,1.0,1
89,Pimpri Chinchwad College Of Engineering,1.0,1
90,Purdue University - West Lafayette,1.0,1
91,Ryerson University,1.0,1
92,Swinburne University of Technology,1.0,1
93,Technische Universität Braunschweig,1.0,1
94,Toyohashi University of Technology,1.0,1
95,Universidade Estadual de Campinas,1.0,1
96,University of Applied Sciences Ravensburg-Weingarten,1.0,1
97,University of Michigan - Ann Arbor,1.0,1
98,University of Stavanger,1.0,1
99,University of Strathclyde,1.0,1
100,University of Surrey,1.0,1
101,University of Texas at Austin,1.0,1
102,University of Wollongong,1.0,1
103,École de Technologie Superieure,1.0,1
104,École Polytechnique de Montréal,1.0,1
