Rank,University,Wins
1,ETH Zürich,13
2,TU Delft,10
3,Universität Stuttgart,10
4,Technical University of Munich,5
5,Tallinn TU UAS,4
6,Westsächsische Hochschule Zwickau,4
7,Carnegie Mellon University,2
8,Duale Hochschule Baden-Württemberg Stuttgart,2
9,Karlsruhe Institute of Technology,2
10,Technische Universität Dresden,2
11,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1
12,Fachhochschule Joanneum Graz,1
13,Fachhochschule München,1
14,Hochschule Bonn-Rhein-Sieg,1
15,McGill University,1
16,Monash University,1
17,National Technical University of Athens,1
18,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1
19,Pimpri Chinchwad College Of Engineering,1
20,Politecnico di Torino,1
21,Rheinisch-Westfälische Technische Hochschule Aachen,1
22,Technische Universität Hamburg,1
23,University of Auckland,1
24,University of Pennsylvania,1
25,Universität Bayreuth,1
26,École Polytechnique de Montréal,1
